Játékos;Poszt;Státusz;Szül. év.;Mag.;Töm.;Csapat
FODOR Péter;G;Hazai;1956;189;78;Körmend
FODOR Roland;SG;Hazai;1989;184;81;Körmend
FODOR Sándor;G;Hazai;1957;187;75;Körmend
FODOR Zoltán;G;Hazai;1964;180;;Csepel
Selim FOFANA;G;Légiós;1999;191;79;Sopron KC
FOKI Tibor;;Hazai;;;;Csepel
FOKI Tibor;GF;Hazai;1958;192;78;Kecskemét
FÖLDESI Attila;FC;Hazai;1965;202;95;Budapesti Honvéd, ZTE KK
FÖLDESI Zoltán;PG;Hazai;1971;188;;Budapesti Honvéd
FÖLDI Gábor;C;Hazai;1976;208;97;Falco KC Szombathely, MAFC, ZTE KK
Alexander FOMIN;F;Légiós;1986;205;102;Atomerőmű SE
FONAI Richárd;F;Hazai;1990;200;86;Kaposvári KK
FONYÓ Botond;PG;Hazai;2006;190;80;NKA Pécs
Duke-Jermaine FORBES;G;Légiós;1980;185;83;Alba Fehérvár, Dombóvár, Nyíregyháza
Quincy FORD;F;Légiós;1993;203;102;Alba Fehérvár, Sopron KC, Szolnoki Olajbányász
Xavier FORD;F;Légiós;1993;202;100;Kaposvári KK
FORRAY Gábor, dr.;F;Hazai;1965;199;107;Körmend, MAFC, Tungsram
Cameron FORTE;F;Légiós;1993;201;100;Atomerőmű SE
Josh FORTUNE;GF;Légiós;1994;196;91;Szedeák
Kyle FOSTER;GF;Légiós;1998;196;86;Körmend
Mitchell FOSTER;C;Légiós;1971;208;;Szolnoki Olajbányász
Pavel FRÁNA;C;Légiós;1977;212;115;Sopron KC, Szolnoki Olajbányász
FRANK Áron;SG;Hazai;2000;191;84;Atomerőmű SE, Jászberény, Pécsi VSK, Szolnoki Olajbányász
FRANKOVICS Ferenc;GF;Hazai;1954;192;79;Egri TANÉP
Branden FRAZIER;G;Légiós;1992;191;77;Kaposvári KK
Winsome FRAZIER;SF;Légiós;1982;193;82;Falco KC Szombathely, Kaposvári KK, Szolnoki Olajbányász
Allerik FREEMAN;SG;Légiós;1994;191;91;Alba Fehérvár
Eric FREEMAN;FC;Légiós;1979;205;105;Hódmezővásárhely
Matt FREEMAN;PF;Légiós;1997;207;100;Budapesti Honvéd
FRIKKER Marcell;G;Hazai;1998;186;82;Szolnoki Olajbányász
Jerzy FROŁOW;G;Légiós;1951;187;87;Kaposvári KK
Tim FROST;C;Légiós;1980;208;107;Atomerőmű SE
J.C. FULLER;SG;Légiós;1994;196;88;Sopron KC, ZTE KK
Branduinn FULLOVE;SG;Légiós;1980;193;95;Kaposvári KK, ZTE KK
FÜLÖP Bence;FC;Hazai;1998;202;107;Kecskemét
FÜLÖP Gábor;FC;Hazai;1980;206;105;Budapesti Honvéd, Debreceni Egyetem, Dombóvár, Jászberény, Kaposvári KK, MAFC, NTE Hegyvidék, Pécsi VSK, Szolnoki Olajbányász
Kenney FUNDERBURK;SG;Légiós;1992;194;96;Pécsi VSK
FURJÁN Ferenc;SG;Hazai;1986;185;74;ZTE KK
FUTÓ Balázs;C;Hazai;2000;204;103;Pécsi VSK
FÜZI Róbert;SF;Hazai;1999;195;88;Jászberény
FŰZY Ákos;GF;Hazai;1963;190;85;Pécsi VSK
GAÁL Róbert;G;Hazai;1988;192;79;Debreceni Egyetem, Salgótarjáni KSE, Szolnoki Olajbányász
Tomislav GABRIĆ;F;Légiós;1995;204;95;Kaposvári KK
GADÁCSI Dávid;SG;Hazai;2006;185;79;Sopron KC
Chris GADLEY;C;Légiós;1987;206;145;MAFC
Novar GADSON;SF;Légiós;1989;201;100;Kaposvári KK
GÁL Csongor;SG;Hazai;2007;193;84;Debreceni EAC
GÁL János;FC;Hazai;1950;200;90;Vasas
GÁL Krisztián;G;Hazai;1989;186;80;Salgótarjáni KSE
GÁL László;FC;Hazai;1968;201;;Bajai SK, MAFC
GALAMB István;G;Hazai;1949;186;80;Vasas
GALAMBOS Balázs;C;Hazai;1959;200;84;Kandó MFSC, MAFC
GÁLL Csaba;PF;Hazai;1959;199;94;Csepel, Tungsram, Vasas, Volán SC
GÁLL Dominik;SG;Hazai;1993;198;85;ZTE KK
GÁLL Tamás;G;Hazai;1969;190;85;Budapesti Honvéd, Sopron KC, ZTE KK
GÁLOSI Ferenc;G;Hazai;1956;185;87;Kaposvári KK
GÁLOSI Zoltán;FC;Hazai;1954;196;90;Pécsi VSK
Mladen GAMBIROŽA;C;Légiós;1975;208;110;Kecskemét, MAFC, Pécsi VSK
GARAI Zsolt;GF;Hazai;1969;193;84;Alba Fehérvár
GARAMVÖLGYI Ákos;FC;Hazai;1994;200;102;Atomerőmű SE, Debreceni EAC, Körmend, Nyíregyháza, Oroszlány, Vasas
Hernold GARDENER;FC;Légiós;1982;206;111;Atomerőmű SE
K.J. GARLAND;G;Légiós;1984;185;82;Körmend
Joško GARMA;C;Légiós;1981;206;110;ZTE KK
Jarvis GARNER;F;Légiós;1991;201;100;Nyíregyháza
Billy GARRETT;G;Légiós;1994;200;90;ZTE KK
Brandon GARRETT;FC;Légiós;1990;204;99;Körmend, Sopron KC
Jarvis GARRETT;PG;Légiós;1995;183;79;Jászberény
GÁSPÁR Balázs;C;Hazai;1994;206;90;Nyíregyháza
GÁSPÁR Dávid;SG;Hazai;1982;192;88;Alba Fehérvár, Dombóvár, Nyíregyháza, ZTE KK
GÁSPÁR Mátyás;FC;Hazai;2000;199;103;Debreceni EAC, Körmend, Oroszlány
GÁTI István;GF;Hazai;1962;193;85;Budapest SE
Shane GATLING;G;Légiós;1998;188;82;Budapesti Honvéd, ZTE KK
Jimmy GAVIN;SG;Légiós;1991;191;88;Szolnoki Olajbányász
Grigorij GAVRIL;C;Légiós;1946;207;104;Volán SC
Zoran GAVRILOVIĆ;C;Légiós;1968;205;105;Dombóvár
Brandon GAY;PF;Légiós;1982;203;100;Szolnoki Olajbányász
Sherman GAY;PF;Légiós;1982;201;;ZTE KK
GAZDAGH József;GF;Hazai;1953;190;;Hódmezővásárhely
GECSEG Ádám;SG;Hazai;1988;188;;ZTE KK
GELLÉR Sándor;PG;Hazai;1947;183;75;Budapesti Honvéd
GÉMES Levente;FC;Hazai;1973;206;110;Alba Fehérvár, Debreceni KK, Hódmezővásárhely, Kaposvári KK, Kecskemét, Nyíregyháza, Pécsi VSK
Donte GENNIE;PG;Légiós;1983;185;84;Nyíregyháza
GERA Ferenc;GF;Hazai;2005;195;83;Kecskemét
GEREBECZ Péter;SF;Hazai;1978;193;86;Soproni MAFC
GEREBEN Tamás;SF;Hazai;1970;195;85;Kecskemét
GERENCSÉR Botond;SG;Hazai;2006;190;85;ZTE KK
GERGELY Tamás;FC;Hazai;1966;203;94;Atomerőmű SE, Kecskemét, MAFC
GÉRINGER Gergő;F;Hazai;2005;198;97;Atomerőmű SE
GERÖLY Márton;F;Hazai;2004;200;100;Körmend
DeAndre GHOLSTON;GF;Légiós;2000;196;98;Oroszlány
Sterling GIBBS;G;Légiós;1993;188;88;Kaposvári KK, Körmend
Matt GIBSON;G;Légiós;1984;196;82;Kaposvári KK
Shane GIBSON;SG;Légiós;1990;188;83;Szolnoki Olajbányász
Clarence GILBERT;SG;Légiós;1980;188;87;Falco KC Szombathely
Lawrence GILBERT;SF;Légiós;1986;201;91;Atomerőmű SE, Sopron KC
Augustus GILCHRIST;FC;Légiós;1989;208;109;Alba Fehérvár
John GILCHRIST;PG;Légiós;1985;188;86;Szedeák
L.G. GILL;PF;Légiós;1994;203;104;Sopron KC
John GILLON;PG;Légiós;1994;183;81;Alba Fehérvár
GILSZKI Erik;SF;Hazai;2001;198;85;Szolnoki Olajbányász
Teddy GIPSON;G;Légiós;1980;193;89;Szolnoki Olajbányász
Josip GLAVINIĆ;PG;Légiós;1982;189;89;Pécsi VSK
Jovo GLAVINIĆ;SG;Légiós;1981;194;;Falco KC Szombathely
Montae GLENN;C;Légiós;1997;203;105;ZTE KK
Ricardo GLENN;C;Légiós;1990;203;112;MAFC
Dmitro GLIEBOV;GF;Légiós;1988;198;92;ZTE KK
Miloš GLIŠIĆ;PF;Légiós;1998;205;98;Szedeák
Nikola GLIŠOVIĆ;FC;Légiós;1973;209;102;Sopron KC
Shawn GLOVER;SF;Légiós;1990;201;98;Alba Fehérvár
GÓBI Henrik;FC;Hazai;1971;207;106;Alba Fehérvár, Kaposvári KK, MAFC, Szolnoki Olajbányász
GÓBI Marcell;SF;Hazai;2002;197;86;Alba Fehérvár
GÓCS Lajos;PF;Hazai;1976;200;100;Atomerőmű SE, Debreceni KK, Százhalombatta
GÓCZÁN Gábor;PG;Hazai;1958;182;81;Dombóvár, Sopron KC, Videoton, ZTE KK
GODENA Ferenc;PF;Hazai;1973;203;102;Alba Fehérvár, Kaposvári KK
Kenny GOINS;PF;Légiós;1996;201;104;Atomerőmű SE
GOLDRING Gergő;G;Hazai;2001;194;85;Pécsi VSK
GOLDRING József;G;Hazai;1999;190;85;Szedeák
Wojciech GOLIŃSKI;SF;Légiós;1959;197;;Szegedi EOL
GOLOMÁN György;FC;Hazai;1996;211;105;Falco KC Szombathely, Körmend
GOMBÁS Gábor;PF;Hazai;1985;200;100;Sopron KC
GOMBÁS Lukács;FC;Hazai;1950;198;72;Kandó MFSC
GOMBOS Zoltán;C;Hazai;;204;;Sopron KC, Videoton
GORÁCZ Bence;G;Hazai;1986;188;;Debreceni KK
Justin GORDON;F;Légiós;1993;198;93;Pécsi VSK
Wesley GORDON;C;Légiós;1994;206;108;Körmend, Sopron KC
GORJANÁCZ Marin;F;Hazai;1959;196;90;Bajai SK
GORSZKI Jaroszlav;F;Hazai;1979;198;90;Salgótarjáni KSE
GORZSÁS Krisztián;F;Hazai;1992;200;93;Alba Fehérvár
Charles GOSA;F;Légiós;1977;203;88;Atomerőmű SE, Falco KC Szombathely, Kaposvári KK
GŐSI Zoltán;F;Hazai;1956;195;86;Sopron KC
GOSZTONYI Gábor;PG;Hazai;1964;180;76;Kaposvári KK, Videoton
GOTTSCHLING Gábor;G;Hazai;1967;186;77;Sopron KC
Darrin GOVENS;G;Légiós;1988;185;86;Alba Fehérvár, Atomerőmű SE, Debreceni EAC, Falco KC Szombathely, Körmend, Szedeák, ZTE KK
GRÁCZER Zsolt;G;Hazai;1978;188;88;Falco KC Szombathely, Kaposvári KK, Körmend, MAFC, Nyíregyháza
Justin GRAHAM;G;Légiós;1988;193;88;ZTE KK
Paul GRAHAM;SG;Légiós;1985;196;91;Körmend
Greg GRANT;C;Légiós;1971;209;113;Falco KC Szombathely
Johnny GRAY;PG;Légiós;1983;186;82;Atomerőmű SE
GREBENÁR Péter;C;Hazai;1981;211;117;Kaposvári KK, Körmend, Pécsi VSK, Szolnoki Olajbányász
Pavel GREBNYEV;C;Légiós;1963;210;;Bajai SK
Devonte GREEN;SG;Légiós;1997;191;84;Atomerőmű SE
Garrett GREEN;FC;Légiós;1989;211;109;Pécsi VSK
Juan'ya GREEN;PG;Légiós;1992;188;88;Kecskemét
Ledon GREEN;SF;Légiós;1973;201;95;Alba Fehérvár, Debreceni KK, Falco KC Szombathely, Kaposvári KK, MAFC, Sopron KC, Szedeák
Nate GREEN;FC;Légiós;1975;203;110;Budapesti Honvéd
Quinton GREEN;SF;Légiós;1998;201;85;ZTE KK
Rodney GREEN;GF;Légiós;1988;196;95;Szolnoki Olajbányász
Josh GREENE;PG;Légiós;1992;183;82;Sopron KC
Dino GREGORY;PF;Légiós;1989;201;107;Szolnoki Olajbányász
Ivan GRGAT;C;Légiós;1974;210;120;Körmend
Dayon GRIFFIN;SG;Légiós;1995;195;95;Kaposvári KK, Sopron KC, Szolnoki Olajbányász
Arūnas GRIGAS;F;Légiós;1961;202;91;Kaposvári KK
Nate GRIMES;FC;Légiós;1996;203;102;Körmend
Chris GRIMM;C;Légiós;1984;208;111;ZTE KK
Rod GRIZZARD;SF;Légiós;1980;203;91;Atomerőmű SE
Miloš GRUBOR;F;Légiós;1991;201;103;Atomerőmű SE, Budapesti Honvéd
GRUDA Gergely;C;Hazai;1992;210;120;Kecskemét, MAFC
Tadeusz GRYGIEL;GF;Légiós;1954;192;86;Oroszlány
GUBI Viktor;G;Hazai;1990;185;90;Dombóvár, Pécsi VSK
R.T. GUINN;FC;Légiós;1981;208;120;Atomerőmű SE
GULYÁS István;GF;Hazai;1962;190;90;Kecskemét, Szegedi EOL
GULYÁS Milán;GF;Hazai;1998;192;85;Atomerőmű SE, ZTE KK
GULYÁS Péter;FC;Hazai;1966;200;89;Tungsram
GULYÁS Róbert;C;Hazai;1974;214;138;Atomerőmű SE
GULYÁS Róbert;C;Hazai;1973;206;;Kaposvári KK, Nagykőrös
Keenan GUMBS;GF;Légiós;1996;196;95;Debreceni EAC
GUÓTH Ádám;SF;Hazai;1983;195;;Kecskemét
GUÓTH Árpád;PG;Hazai;1952;186;78;Szegedi EOL, Videoton
Anthony GURLEY;G;Légiós;1988;191;84;Szedeák
GURSZKY Géza;SF;Hazai;1962;194;83;Oroszlány
GURZÓ György;SF;Hazai;1973;196;;Debreceni KK
Carlton GUYTON;G;Légiós;1990;193;89;Alba Fehérvár, Debreceni EAC, ZTE KK
Nyikolaj GYERJUGIN;C;Légiós;1959;206;;MAFC
GYIMES Áron;SG;Hazai;2005;190;85;ZTE KK
GYŐR Tamás;SG;Hazai;1979;192;85;Budapesti Honvéd
GYŐRFI István;FC;Hazai;1959;201;96;Videoton, ZTE KK
GYURÁCZ Ernő;;Hazai;;;;Sopron KC
GYURÁCZ Lajos;G;Hazai;;;;Sopron KC
GYURÁKOVICS Ákos;PF;Hazai;2009;202;80;Alba Fehérvár
GYURASITS István;F;Hazai;1946;194;;Budapesti Honvéd
GYURASKÓ Gábor;C;Hazai;1960;203;97;Budapesti Honvéd, Sopron KC, Tungsram
HABEL Clemens;FC;Hazai;2001;202;90;Körmend
HABUCZKI Zsolt;SG;Hazai;1977;190;87;Debreceni KK
Moris HADŽIJA;SG;Légiós;1980;194;88;Hódmezővásárhely
Josh HAGINS;PG;Légiós;1994;185;82;Debreceni EAC
Rylan HAINJE;F;Légiós;1980;198;106;Körmend
HAJDÚ Gergő;PG;Hazai;1981;189;;Kecskemét
HAJDU Márton;FC;Hazai;1994;200;98;Szolnoki Olajbányász
HAJDU Péter;F;Hazai;2004;201;96;Budapesti Honvéd, Sopron KC
HAJDÚ Péter;GF;Hazai;1975;194;;Budapesti Honvéd
HAJDUK Attila Dominik;PF;Hazai;2002;200;102;Kaposvári KK
HÁJER Ádám;GF;Hazai;1991;195;83;Nyíregyháza, Szedeák
HAJMÁSY Péter;GF;Hazai;1988;191;96;Factum Sport Debrecen, Falco KC Szombathely, NTE Hegyvidék, Sopron KC
HAJNAL László;PF;Hazai;1974;194;;MAFC
HAJNICS Imre;C;Hazai;1968;205;95;Szegedi EOL, Videoton
Jerzy HAJNSZ;C;Légiós;1953;202;;Egri TANÉP
HALÁSZ Ákos;PG;Hazai;1991;183;77;Kaposvári KK, Körmend, Pécsi VSK, Sopron KC
HALÁSZ István;G;Hazai;1952;;;ZTE KK
HALÁSZ Tamás;PG;Hazai;1992;183;79;Sopron KC
Emir HALIMIĆ;SF;Légiós;1970;196;90;Dombóvár, Kaposvári KK, Nyíregyháza, Szolnoki Olajbányász
HALL Derek;FC;Hazai;1990;211;108;Falco KC Szombathely, Nyíregyháza
Reinar HALLIK;FC;Légiós;1984;208;105;Falco KC Szombathely
HALM Rolland;GF;Hazai;1969;193;88;Alba Fehérvár, Budapesti Honvéd, Debreceni KK, Körmend
HALMAI Balázs;PG;Hazai;1974;176;77;Dombóvár
HALMAI Dániel;PG;Hazai;2004;184;80;Atomerőmű SE, Kaposvári KK
HALMAI Tamás;SF;Hazai;1987;202;88;Kecskemét, Sopron KC
HALMAI Tibor;FC;Hazai;1960;200;96;Atomerőmű SE, Testnevelési Főiskola
HALMOS István;G;Hazai;1946;186;;Csepel
HALMOS Péter;G;Hazai;1964;178;68;Sopron KC
HALMOSI Gergely;SF;Hazai;1984;196;;Kecskemét, MAFC
HAMAR Tamás;PF;Hazai;1979;198;86;Szolnoki Olajbányász
HAMARICS József;GF;Hazai;1959;190;90;Pécsi VSK
James HAMILTON;F;Légiós;1972;201;107;Matáv Pécs
Rodney HAMILTON;PG;Légiós;1975;176;;Budapesti Honvéd
Leyton HAMMONDS;PF;Légiós;1994;203;101;Körmend
HAMZA József;G;Hazai;1976;183;78;Debreceni KK
HAMZA Sándor;GF;Hazai;1971;191;78;Debreceni KK
HÁNCS Zoltán;F;Hazai;1957;193;83;Kaposvári Honvéd Táncsics
HANGA Ádám;GF;Hazai;1989;200;90;Alba Fehérvár
HANSEN Dániel;GF;Hazai;2004;192;83;Falco KC Szombathely, Körmend
HARAZIN Tamás;FC;Hazai;1985;204;95;Falco KC Szombathely, Kaposvári KK, Pécsi VSK, Szolnoki Olajbányász
Jesse HARDIN;G;Légiós;1993;188;84;MAFC
Quentin HARDRICT;PG;Légiós;2000;180;78;Budapesti Honvéd
Lucas HARGROVE;SF;Légiós;1988;198;99;Kaposvári KK
HARKA Szabolcs;F;Hazai;2005;196;81;Pécsi VSK
Brett HARPER;SG;Légiós;1977;194;;Dombóvár
Ty HARRELSON;SG;Légiós;1980;193;;Falco KC Szombathely
Alandise HARRIS;F;Légiós;1990;198;108;Alba Fehérvár, ZTE KK
Anthony HARRIS;PG;Légiós;1985;188;86;Körmend, MAFC
Chris HARRIS;C;Légiós;1997;208;111;ZTE KK
Eugene HARRIS;PG;Légiós;1986;188;82;Kecskemét
Gregory HARRIS;SG;Légiós;1978;191;;Debreceni KK
Jeremy HARRIS;SF;Légiós;1996;201;80;Atomerőmű SE
Damarcus HARRISON;GF;Légiós;1992;193;93;Debreceni EAC
David HARRISON;SG;Légiós;1975;190;83;Kecskemét
Jarret HART;G;Légiós;1980;195;93;ZTE KK
Michael HART;F;Légiós;1974;202;105;Alba Fehérvár
Jason HARTMAN;SF;Légiós;1976;198;92;Matáv Pécs
HARTVICH Tamás;FC;Hazai;1974;200;100;Budapesti Honvéd, Csepel, Dombóvár, Egri Fekete Sasok, MAFC, Salgótarjáni KSE, Szolnoki Olajbányász
Trevor HARVEY;C;Légiós;1980;210;105;Falco KC Szombathely
HÁSZ György;FC;Hazai;1963;197;80;Vasas, Volán SC
Ruszlan HASZJANOV;PG;Légiós;1965;190;;Pécsi VSK
HAVASI Ádám;PG;Hazai;1973;185;;Bajai SK
HAVLIK Martin;PG;Hazai;1990;;;Körmend
Jim HAVRILLA;C;Légiós;1969;210;120;ZTE KK
Deontae HAWKINS;PF;Légiós;1993;203;100;Falco KC Szombathely
Elijah HAWKINS;PG;Légiós;2002;180;75;Atomerőmű SE
Aaron HAWLEY;F;Légiós;1990;203;90;Kaposvári KK
Bradley HAYES;C;Légiós;1994;213;125;Oroszlány
DeAndre HAYNES;G;Légiós;1984;188;84;Kecskemét
Samajae HAYNES-JONES;G;Légiós;1996;183;82;Pécsi VSK
Nathan HEALY;F;Légiós;1990;201;100;ZTE KK
Zaid HEARST;GF;Légiós;1993;193;98;Alba Fehérvár
Jay HEATH;SG;Légiós;2000;191;95;Szedeák
Jordan HEATH;FC;Légiós;1991;208;109;Alba Fehérvár
HEGEDÜS Brúnó;PF;Hazai;2004;200;95;Debreceni EAC
HEGEDÜS Edömér;C;Hazai;1945;204;;Budapest SE
HEGEDŰS Ferenc;G;Hazai;1967;187;73;Alba Fehérvár
HEGEDŰS Gergely;PF;Hazai;1983;198;100;Kecskemét, Körmend, Pécsi VSK
HEGEDÜS György;SF;Hazai;1963;193;86;Alba Fehérvár
HEGEDŰS Krisztián;F;Hazai;1989;198;87;Debreceni KK
HEGEDÜS Péter;PG;Hazai;1967;186;88;Alba Fehérvár, Budapesti Honvéd, Videoton
HEIMANN Gergő;G;Hazai;2004;185;80;Atomerőmű SE
Brian HEINLE;PF;Légiós;1978;205;102;Falco KC Szombathely
HEINRICH Ádám;G;Hazai;1982;189;80;Budapesti Honvéd
Chris HEINRICH;C;Légiós;1977;209;115;Kecskemét
HEINRICH Róbert;FC;Hazai;1960;200;95;Budapesti Honvéd
Srđan HELBICH;FC;Légiós;1976;205;105;Debreceni KK, Falco KC Szombathely, Nyíregyháza, Pécsi VSK, ZTE KK
Zoran HELBICH;FC;Légiós;1974;206;111;Nyíregyháza
Paul HELCIOIU;PG;Légiós;1978;180;;Kecskemét
HELEMBAI Sándor;FC;Hazai;1959;200;90;Budapesti Honvéd, Oroszlány, Volán SC
Jericole HELLEMS;SF;Légiós;1999;200;90;ZTE KK
HELMECZI András;G;Hazai;1990;196;95;Factum Sport Debrecen, Jászberény, Nyíregyháza, Pécsi VSK, Sopron KC
HELYES Dániel;F;Hazai;1991;198;85;Salgótarjáni KSE
HENCSEY Tamás;PG;Hazai;1973;184;80;Atomerőmű SE, Debreceni KK, Körmend
Esian HENDERSON;FC;Légiós;1985;206;100;Sopron KC, ZTE KK
Harrison HENDERSON;C;Légiós;1997;211;109;Nyíregyháza
Kenneth HENDERSON;F;Légiós;1982;201;98;Alba Fehérvár, Körmend, Nyíregyháza
HENDLEIN Roland;PF;Hazai;1986;207;103;Alba Fehérvár, Dombóvár, Kaposvári KK
Todd HENDLEY;PF;Légiós;1984;206;107;Pécsi VSK
HENRIK István;SF;Hazai;1980;194;83;Falco KC Szombathely, Sopron KC
Jalen HENRY;FC;Légiós;1996;203;100;Budapesti Honvéd, Körmend
Shane HENRY;FC;Légiós;1993;203;93;NKA Pécs, Oroszlány
LaDontae HENTON;F;Légiós;1992;198;98;Atomerőmű SE
HERCZEG Kristóf;G;Hazai;2003;184;80;Körmend
HERCZEGH Zoltán;G;Hazai;1955;183;70;Alba Fehérvár
HERCZKU Márton;F;Hazai;1979;197;92;Nyíregyháza
HERGER Salamon;C;Hazai;2001;209;95;Falco KC Szombathely, NKA Pécs
Alan HERNDON;C;Légiós;1994;206;97;Szedeák
Mustapha HERON;GF;Légiós;1997;196;95;ZTE KK
HETÉNYI Sándor;G;Hazai;1962;184;75;MAFC, Vasas
HEVESI László;F;Hazai;1957;195;96;Videoton
HIBJÁN Máté;G;Hazai;2004;188;82;Debreceni EAC
Tony HICKS;PG;Légiós;1994;189;84;Atomerőmű SE, ZTE KK
HIDASI Zsolt;;Hazai;;;;Oroszlány
HIEZL Bálint;PF;Hazai;2003;196;94;Körmend
HILCZ Gyula;F;Hazai;1958;196;96;Oroszlány
Isaiah HILL;PG;Légiós;2000;183;77;Oroszlány
Kasey HILL;PG;Légiós;1993;185;79;Alba Fehérvár
P.J. HILL;PG;Légiós;1987;185;80;Atomerőmű SE
Terrence HILL;SG;Légiós;1982;195;80;MAFC
Terrence HILL;FC;Légiós;1964;202;;Sopron KC
Nimrod HILLIARD;PG;Légiós;1993;183;79;Kaposvári KK
Jaycee HILLSMAN;SF;Légiós;1996;198;104;Nyíregyháza
Jabarie HINDS;PG;Légiós;1993;180;84;Atomerőmű SE
Chris HINES;PF;Légiós;1987;203;104;ZTE KK
Shaquille HINES;F;Légiós;1993;203;96;Debreceni EAC
Charles HINKLE;SF;Légiós;1988;196;93;Sopron KC
Louis HINNANT;PG;Légiós;1984;193;86;Kaposvári KK, ZTE KK
HIRCZI József;;Hazai;;;;Csepel
Braydon HOBBS;PG;Légiós;1989;196;84;Alba Fehérvár
HOCK Gergő;G;Hazai;1998;185;88;Kaposvári KK
HOCKERUP-FISCHER Dávid;PF;Hazai;2001;206;97;NKA Pécs
Jibril HODGES;G;Légiós;1984;188;86;Atomerőmű SE, Jászberény
HÓDI László;FC;Hazai;1963;199;93;Falco KC Szombathely, Körmend, Veszprém
HÓDI Patrik;SF;Hazai;1996;198;88;Falco KC Szombathely
HOFFMANN Balázs;F;Hazai;1980;198;91;Kaposvári KK, Matáv Pécs, ZTE KK
HOFFMANN Gábor;G;Hazai;1954;184;83;Tungsram
HOFFMANN Zoltán;SF;Hazai;1970;197;100;Kaposvári KK, Matáv Pécs
HŐGYE Patrik;G;Hazai;2005;193;78;Debreceni EAC, Pécsi VSK
Justin HOLIDAY;SF;Légiós;1989;198;84;Szolnoki Olajbányász
Andre HOLLINS;G;Légiós;1992;188;91;Körmend
Vernard HOLLINS;SG;Légiós;1980;190;95;Szolnoki Olajbányász
Damian HOLLIS;F;Honosított;1988;203;98;Alba Fehérvár
Rahlir HOLLIS-JEFFERSON;F;Légiós;1991;198;98;Oroszlány
Tray HOLLOWELL;G;Légiós;1998;190;84;Oroszlány
Ryland HOLT;SF;Légiós;2001;198;98;Szolnoki Olajbányász
Jonathan HOLTON;PF;Légiós;1991;201;100;ZTE KK
Tómas HOLTON;PG;Légiós;1965;185;;Budapesti Honvéd
HONTI István;SF;Hazai;1956;194;84;Oroszlány, Sopron KC
Quinton HOOKER;PG;Légiós;1995;183;93;Falco KC Szombathely
HORÁNYI Ákos;G;Hazai;1990;185;80;Atomerőmű SE, Sopron KC
HORGA Péter;C;Hazai;1976;202;;Hódmezővásárhely
Jeriah HORNE;F;Légiós;1998;201;100;Alba Fehérvár
HORTI Bálint;C;Hazai;1989;208;115;Atomerőmű SE, Falco KC Szombathely, Jászberény, Kecskemét, Körmend, Pécsi VSK, ZTE KK
HORTOBÁGYI László;G;Hazai;1955;184;74;Tungsram
HORTOBÁGYI László;G;Hazai;1976;192;89;Csepel, Falco KC Szombathely, Kaposvári KK
Chris HORTON;FC;Légiós;1994;203;102;Alba Fehérvár
Roman HORVAT;SF;Légiós;1971;200;100;Debreceni KK
HORVÁTH Ádám;G;Hazai;2004;191;82;Falco KC Szombathely
HORVÁTH Ákos;GF;Hazai;1981;194;87;Alba Fehérvár, Atomerőmű SE, Budapesti Honvéd, Jászberény, Kecskemét, MAFC, Sopron KC, Szedeák, Szolnoki Olajbányász, Vasas, ZTE KK
HORVÁTH Ákos;PG;Hazai;2005;184;77;Szolnoki Olajbányász
HORVÁTH Antal;GF;Hazai;1949;190;85;Videoton
HORVÁTH Attila;F;Hazai;1956;198;89;Budapesti Honvéd, Nagykőrös, Testnevelési Főiskola
HORVÁTH Balázs;GF;Hazai;1990;192;92;Pécsi VSK, ZTE KK
HORVÁTH Bence;GF;Hazai;1982;201;;Falco KC Szombathely
HORVÁTH Bence;FC;Hazai;1990;201;90;Dombóvár, Nyíregyháza
HORVÁTH Csaba;FC;Hazai;1980;203;103;Kecskemét, Körmend, MAFC
HORVÁTH Csaba;;Hazai;;;;Dombóvár
HORVÁTH Dávid;SG;Hazai;1989;192;85;Falco KC Szombathely
HORVÁTH Elemér;SG;Hazai;1956;190;82;Budapesti Honvéd, Oroszlány, Vasas
HORVÁTH Gergely;GF;Hazai;1961;190;90;Budapest SE
HORVÁTH Hunor;SF;Hazai;2002;195;86;Kaposvári KK
HORVÁTH Imre;PG;Hazai;1964;180;75;Debreceni KK, Kecskemét, Nyíregyháza, Szolnoki Olajbányász
HORVÁTH István;SF;Hazai;1985;197;95;Körmend
HORVÁTH István;PG;Hazai;1971;183;;Alba Fehérvár, Falco KC Szombathely
HORVÁTH József;C;Hazai;1959;200;94;Oroszlány
HORVÁTH József;PF;Hazai;1968;198;94;MAFC
HORVÁTH Kristóf;G;Hazai;1997;190;89;Atomerőmű SE, Kecskemét
HORVÁTH László;FC;Hazai;1975;200;100;Atomerőmű SE, MAFC
HORVÁTH Márton;C;Hazai;1989;205;120;Kaposvári KK
HORVÁTH Roland;FC;Hazai;1984;202;;Falco KC Szombathely
HORVÁTH Zoltán;FC;Hazai;1979;207;109;Atomerőmű SE, Falco KC Szombathely, Pécsi VSK
HORVÁTH Zoltán;SF;Hazai;1954;194;92;Tungsram
HORVÁTH-BORS István;C;Hazai;1955;202;85;Tungsram
HOSSZÚ Gergely;G;Hazai;1986;190;85;Pécsi VSK
