Játékos;Szezon;Csapat;G;Min;Min PG;AST;AST PG;AST 100;AST%;AST/ TOV;TOV;TOV PG;TOV 100;TOV%;DRB;ORB;TRB;DRB PG;ORB PG;TRB PG;DRB 100;ORB 100;TRB 100;DRB%;ORB%;TRB%;PFA;PFA PG;PFA 100;PF;PF PG;PF 100;Min / 5 PF;STL;STL PG;STL%;STL/ TOV;BLK;BPG PG;BLK 100;BLK%
ILLÉS Máté;2023-24;Oroszlány;29;347;12.0;15;0.5;2.2;6.2;1.88;8;0.3;1.2;6.9;29;4;33;1.0;0.1;1.1;4.3;0.6;4.9;9.0;1.3;5.3;17;0.6;2.5;45;1.6;6.7;38.6;7;0.2;1.0;0.9;0;0.0;0.0;0.0
Aleksa NOVAKOVIĆ;2024-25;Falco KC;21;346;16.5;10;0.5;1.6;4.0;0.71;14;0.7;2.2;11.3;34;13;47;1.6;0.6;2.2;5.4;2.1;7.5;10.2;4.3;7.4;20;1.0;3.2;38;1.8;6.0;45.6;9;0.4;1.4;0.6;2;0.1;0.3;0.6
Matt TIBY;2024-25;Falco KC;15;345;23.0;28;1.9;4.5;12.8;1.75;16;1.1;2.6;11.1;63;21;84;4.2;1.4;5.6;10.1;3.4;13.4;18.3;8.0;13.8;51;3.4;8.1;19;1.3;3.0;90.7;9;0.6;1.4;0.6;3;0.2;0.5;0.9
NEUWIRTH Bence;2023-24;DEAC;27;343;12.7;5;0.2;0.8;2.5;0.31;16;0.6;2.6;17.7;18;6;24;0.7;0.2;0.9;3.0;1.0;4.0;5.9;2.0;4.0;3;0.1;0.5;66;2.4;10.9;26.0;8;0.3;1.3;0.5;0;0.0;0.0;0.0
RADÓ Ádám;2024-25;PVSK;27;341;12.6;10;0.4;1.6;5.2;0.91;11;0.4;1.7;9.5;29;30;59;1.1;1.1;2.2;4.6;4.7;9.3;9.5;9.6;9.6;39;1.4;6.1;63;2.3;9.9;27.1;8;0.3;1.3;0.7;4;0.1;0.6;1.1
GARAMVÖLGYI Ákos;2022-23;DEAC;20;340;17.0;11;0.6;1.8;5.4;1.38;8;0.4;1.3;8.6;46;22;68;2.3;1.1;3.4;7.7;3.7;11.3;16.1;7.4;11.7;13;0.7;2.2;28;1.4;4.7;60.7;12;0.6;2.0;1.5;1;0.1;0.2;0.3
HALMAI Dániel;2022-23;Kaposvár;31;339;10.9;23;0.7;3.7;10.4;1.28;18;0.6;2.9;22.2;26;17;43;0.8;0.5;1.4;4.2;2.7;6.9;8.6;5.9;7.3;31;1.0;5.0;79;2.5;12.7;21.5;15;0.5;2.4;0.8;0;0.0;0.0;0.0
SUPOLA Zoltán;2022-23;Sopron;33;338;10.2;22;0.7;3.6;9.9;0.81;27;0.8;4.5;22.4;42;5;47;1.3;0.2;1.4;7.0;0.8;7.8;12.7;1.8;7.6;20;0.6;3.3;41;1.2;6.8;41.2;10;0.3;1.7;0.4;0;0.0;0.0;0.0
Brendan BAILEY;2023-24;Szedeák;13;338;26.0;9;0.7;1.4;4.2;0.90;10;0.8;1.6;5.5;58;10;68;4.5;0.8;5.2;9.1;1.6;10.6;18.5;3.2;10.9;37;2.8;5.8;35;2.7;5.5;48.3;13;1.0;2.0;1.3;7;0.5;1.1;2.0
Darnell BRODIE;2024-25;NKA Pécs;16;337;21.1;20;1.3;3.3;10.7;0.77;26;1.6;4.2;17.3;64;39;103;4.0;2.4;6.4;10.4;6.3;16.7;20.3;12.6;16.5;25;1.6;4.1;42;2.6;6.8;40.1;5;0.3;0.8;0.2;9;0.6;1.5;3.1
Dayon GRIFFIN;2022-23;Kaposvár;11;335;30.5;38;3.5;6.2;19.2;1.09;35;3.2;5.7;20.3;29;4;33;2.6;0.4;3.0;4.7;0.7;5.4;9.9;1.5;6.0;28;2.5;4.6;26;2.4;4.2;64.4;7;0.6;1.1;0.2;5;0.5;0.8;1.5
FILIPOVICS Stefan;2022-23;Szedeák;31;328;10.6;8;0.3;1.3;4.2;0.33;24;0.8;4.0;16.1;39;35;74;1.3;1.1;2.4;6.5;5.9;12.4;14.1;12.2;13.1;29;0.9;4.9;77;2.5;12.9;21.3;7;0.2;1.2;0.3;6;0.2;1.0;2.0
