Játékos;Szezon;Csapat;G;Min;Min PG;AST;AST PG;AST 100;AST%;AST/ TOV;TOV;TOV PG;TOV 100;TOV%;DRB;ORB;TRB;DRB PG;ORB PG;TRB PG;DRB 100;ORB 100;TRB 100;DRB%;ORB%;TRB%;PFA;PFA PG;PFA 100;PF;PF PG;PF 100;Min / 5 PF;STL;STL PG;STL%;STL/ TOV;BLK;BPG PG;BLK 100;BLK%
KÉKESI Kolos;2023-24;Atomerőmű SE;19;149;7.8;9;0.5;3.3;9.0;1.80;5;0.3;1.8;11.5;11;1;12;0.6;0.1;0.6;4.0;0.4;4.4;7.8;0.8;4.4;9;0.5;3.3;15;0.8;5.5;49.7;4;0.2;1.5;0.8;1;0.1;0.4;0.6
Quinton GREEN;2023-24;ZTE;8;148;18.5;12;1.5;4.4;12.3;1.20;10;1.3;3.7;15.6;24;7;31;3.0;0.9;3.9;8.8;2.6;11.4;17.7;5.2;11.5;15;1.9;5.5;18;2.3;6.6;41.1;3;0.4;1.1;0.3;3;0.4;1.1;2.2
Darrin GOVENS;2023-24;Atomerőmű SE;5;145;29.0;10;2.0;3.8;13.0;0.67;15;3.0;5.7;24.4;8;1;9;1.6;0.2;1.8;3.0;0.4;3.4;5.9;0.8;3.4;19;3.8;7.2;11;2.2;4.2;65.9;8;1.6;3.0;0.5;1;0.2;0.4;0.7
SÁGODI Róbert;2023-24;DEAC;11;145;13.2;18;1.6;7.0;21.4;2.25;8;0.7;3.1;17.2;15;3;18;1.4;0.3;1.6;5.8;1.2;7.0;10.8;2.4;6.8;10;0.9;3.9;21;1.9;8.1;34.5;6;0.5;2.3;0.8;4;0.4;1.6;2.8
HERGER Salamon;2024-25;NKA Pécs;18;144;8.0;3;0.2;1.1;3.3;0.30;10;0.6;3.8;27.8;11;8;19;0.6;0.4;1.1;4.2;3.0;7.2;8.4;5.8;7.1;11;0.6;4.2;14;0.8;5.3;51.4;2;0.1;0.8;0.2;1;0.1;0.4;0.7
Ibrahim SYLLA;2023-24;Körmend;10;143;14.3;3;0.3;1.2;3.5;0.27;11;1.1;4.2;25.6;19;13;32;1.9;1.3;3.2;7.3;5.0;12.2;15.4;10.3;12.8;8;0.8;3.1;37;3.7;14.1;19.3;5;0.5;1.9;0.5;5;0.5;1.9;3.3
Prince ODURO;2024-25;Atomerőmű SE;6;142;23.7;3;0.5;1.1;3.5;0.30;10;1.7;3.8;24.8;31;19;50;5.2;3.2;8.3;11.7;7.2;18.9;22.0;14.5;18.4;5;0.8;1.9;22;3.7;8.3;32.3;1;0.2;0.4;0.1;9;1.5;3.4;6.0
Marko ŠINIK;2024-25;Kecskemét;5;142;28.5;19;3.8;7.5;31.1;1.36;14;2.8;5.5;18.7;15;3;18;3.0;0.6;3.6;5.9;1.2;7.1;13.3;2.3;7.4;19;3.8;7.5;10;2.0;3.9;71.2;9;1.8;3.5;0.6;0;0.0;0.0;0.0
VERASZTÓ Péter;2023-24;Falco KC;32;141;4.4;14;0.4;5.3;13.3;3.50;4;0.1;1.5;9.1;6;2;8;0.2;0.1;0.3;2.3;0.8;3.0;4.3;1.7;3.1;7;0.2;2.7;16;0.5;6.1;44.1;2;0.1;0.8;0.5;0;0.0;0.0;0.0
Quentin HARDRICT;2024-25;Bp. Honvéd;6;137;22.9;18;3.0;7.3;27.2;1.20;15;2.5;6.0;21.3;7;4;11;1.2;0.7;1.8;2.8;1.6;4.4;6.2;3.0;4.5;20;3.3;8.1;17;2.8;6.8;40.4;7;1.2;2.8;0.5;1;0.2;0.4;0.9
MAYER Ákos;2023-24;Szedeák;19;131;6.9;5;0.3;2.0;5.2;2.50;2;0.1;0.8;5.8;13;8;21;0.7;0.4;1.1;5.1;3.1;8.2;10.3;6.3;8.3;5;0.3;2.0;23;1.2;9.0;28.5;4;0.2;1.6;2.0;1;0.1;0.4;0.7
WERNER Viktor;2022-23;Oroszlány;26;130;5.0;9;0.3;3.8;10.8;1.00;9;0.3;3.8;37.0;14;12;26;0.5;0.5;1.0;5.9;5.1;11.0;12.9;10.2;11.5;10;0.4;4.2;45;1.7;19.1;14.4;4;0.2;1.7;0.4;3;0.1;1.3;2.5
VERASZTÓ Péter;2022-23;Falco KC;18;126;7.0;12;0.7;5.1;13.9;1.09;11;0.6;4.7;28.8;7;0;7;0.4;0.0;0.4;3.0;0.0;3.0;5.8;0.0;3.1;10;0.6;4.3;21;1.2;9.0;30.0;4;0.2;1.7;0.4;0;0.0;0.0;0.0
SCHMERA Gergely;2023-24;Körmend;19;126;6.6;4;0.2;1.7;5.4;0.50;8;0.4;3.4;16.4;16;6;22;0.8;0.3;1.2;6.7;2.5;9.3;14.0;5.5;9.9;4;0.2;1.7;27;1.4;11.4;23.3;2;0.1;0.8;0.3;0;0.0;0.0;0.0
PERINGER Balázs;2024-25;Szolnok;23;124;5.4;2;0.1;0.9;2.6;0.22;9;0.4;3.9;22.7;17;17;34;0.7;0.7;1.5;7.4;7.4;14.7;15.3;14.9;15.1;8;0.3;3.5;17;0.7;7.3;36.3;1;0.0;0.4;0.1;3;0.1;1.3;2.5
SITKU Márton;2024-25;ZTE;12;122;10.1;3;0.3;1.3;3.8;3.00;1;0.1;0.4;2.5;13;3;16;1.1;0.3;1.3;5.8;1.3;7.1;12.2;2.7;7.4;4;0.3;1.8;11;0.9;4.9;55.2;5;0.4;2.2;5.0;2;0.2;0.9;1.9
CSIZMADIA Attila;2024-25;ZTE;16;121;7.6;2;0.1;0.9;2.6;0.50;4;0.3;1.8;22.5;23;5;28;1.4;0.3;1.8;10.4;2.3;12.6;22.0;4.4;12.9;3;0.2;1.4;9;0.6;4.1;67.1;4;0.3;1.8;1.0;1;0.1;0.5;0.9
Andrew SMITH;2024-25;Alba Fehérvár;5;120;24.0;10;2.0;4.3;12.9;3.33;3;0.6;1.3;7.1;20;11;31;4.0;2.2;6.2;8.6;4.7;13.4;17.9;10.2;14.1;14;2.8;6.0;19;3.8;8.2;31.6;5;1.0;2.2;1.7;10;2.0;4.3;7.6
WERNER Viktor;2024-25;Oroszlány;21;115;5.5;5;0.2;2.4;6.3;0.71;7;0.3;3.3;39.3;14;10;24;0.7;0.5;1.1;6.6;4.7;11.3;13.4;9.8;11.6;3;0.1;1.4;23;1.1;10.8;24.9;0;0.0;0.0;0.0;0;0.0;0.0;0.0
SÖVEGJÁRTÓ Ábel;2024-25;Falco KC;28;113;4.0;4;0.1;2.0;4.7;1.33;3;0.1;1.5;13.6;11;4;15;0.4;0.1;0.5;5.4;2.0;7.3;9.8;4.5;7.4;0;0.0;0.0;16;0.6;7.8;35.3;2;0.1;1.0;0.7;3;0.1;1.5;2.7
Adam KEMP;2022-23;Alba Fehérvár;6;109;18.2;3;0.5;1.5;3.8;0.38;8;1.3;4.0;24.2;17;6;23;2.8;1.0;3.8;8.5;3.0;11.5;17.8;7.7;13.3;8;1.3;4.0;15;2.5;7.5;36.3;3;0.5;1.5;0.4;3;0.5;1.5;3.0
FAZEKAS Máté;2024-25;Alba Fehérvár;14;109;7.8;3;0.2;1.5;4.0;0.75;4;0.3;1.9;9.6;12;9;21;0.9;0.6;1.5;5.8;4.4;10.2;12.1;9.9;11.0;7;0.5;3.4;20;1.4;9.7;27.1;7;0.5;3.4;1.8;0;0.0;0.0;0.0
CZERMANN Patrik;2023-24;DEAC;13;107;8.2;1;0.1;0.5;1.6;0.17;6;0.5;3.2;16.7;10;11;21;0.8;0.8;1.6;5.3;5.8;11.1;10.6;11.9;11.3;3;0.2;1.6;25;1.9;13.2;21.4;1;0.1;0.5;0.2;0;0.0;0.0;0.0
HERCZEG Kristóf;2023-24;Körmend;17;107;6.3;14;0.8;7.0;18.6;1.00;14;0.8;7.0;36.3;5;1;6;0.3;0.1;0.4;2.5;0.5;3.0;5.4;1.1;3.2;13;0.8;6.5;12;0.7;6.0;44.6;0;0.0;0.0;0.0;0;0.0;0.0;0.0
KAROSI Gergely;2022-23;Atomerőmű SE;17;104;6.1;6;0.4;3.1;8.0;0.75;8;0.5;4.2;26.8;7;1;8;0.4;0.1;0.5;3.7;0.5;4.2;7.4;1.1;4.4;2;0.1;1.0;11;0.6;5.8;47.3;4;0.2;2.1;0.5;0;0.0;0.0;0.0
WERNER Viktor;2023-24;Oroszlány;15;102;6.8;1;0.1;0.5;1.4;0.14;7;0.5;3.6;31.8;4;7;11;0.3;0.5;0.7;2.0;3.6;5.6;4.3;7.8;6.0;0;0.0;0.0;30;2.0;15.3;17.0;1;0.1;0.5;0.1;2;0.1;1.0;1.9
SCHÖLL Richárd;2022-23;Sopron;11;100;9.1;7;0.6;3.9;11.3;7.00;1;0.1;0.6;4.3;12;5;17;1.1;0.5;1.5;6.7;2.8;9.5;11.6;5.4;8.6;5;0.5;2.8;11;1.0;6.1;45.5;0;0.0;0.0;0.0;1;0.1;0.6;0.9
Emmanuel LITTLE;2023-24;Szolnok;6;99;16.5;2;0.3;1.1;3.6;0.12;17;2.8;9.2;30.4;21;10;31;3.5;1.7;5.2;11.4;5.4;16.8;22.3;11.7;17.3;10;1.7;5.4;5;0.8;2.7;99.0;7;1.2;3.8;0.4;4;0.7;2.2;4.0
SCHÖLL Richárd;2023-24;Sopron;19;96;5.1;4;0.2;2.2;6.6;1.00;4;0.2;2.2;21.9;13;4;17;0.7;0.2;0.9;7.3;2.2;9.5;15.9;4.5;10.0;4;0.2;2.2;18;0.9;10.1;26.7;4;0.2;2.2;1.0;3;0.2;1.7;3.3
GÉRINGER Gergő;2024-25;Atomerőmű SE;20;93;4.7;3;0.2;1.8;4.6;0.60;5;0.3;3.0;15.9;8;7;15;0.4;0.4;0.8;4.7;4.2;8.9;9.2;8.6;8.9;5;0.3;3.0;13;0.7;7.7;35.8;0;0.0;0.0;0.0;0;0.0;0.0;0.0
LALUSKA Bence;2024-25;Szedeák;14;93;6.6;5;0.4;3.0;9.5;0.71;7;0.5;4.2;26.2;13;2;15;0.9;0.1;1.1;7.7;1.2;8.9;17.0;2.3;9.1;4;0.3;2.4;12;0.9;7.1;38.7;1;0.1;0.6;0.1;0;0.0;0.0;0.0
SZALAY Domonkos;2022-23;ZTE;21;92;4.4;1;0.0;0.6;1.6;0.33;3;0.1;1.8;12.1;4;4;8;0.2;0.2;0.4;2.4;2.4;4.7;5.0;5.2;5.1;2;0.1;1.2;14;0.7;8.2;32.9;2;0.1;1.2;0.7;1;0.0;0.6;1.1
LADOVSZKY János;2024-25;Kecskemét;11;92;8.4;8;0.7;4.9;13.8;0.67;12;1.1;7.3;36.4;5;2;7;0.5;0.2;0.6;3.1;1.2;4.3;7.1;2.5;4.6;4;0.4;2.4;14;1.3;8.6;33.0;2;0.2;1.2;0.2;0;0.0;0.0;0.0
CSÁTALJAY Péter;2024-25;ZTE;20;88;4.4;4;0.2;2.5;7.3;0.80;5;0.3;3.1;19.4;5;0;5;0.3;0.0;0.3;3.1;0.0;3.1;6.9;0.0;3.3;2;0.1;1.2;7;0.4;4.3;62.9;6;0.3;3.7;1.2;0;0.0;0.0;0.0
MAYER Ákos;2022-23;Szedeák;13;87;6.7;3;0.2;1.9;5.2;3.00;1;0.1;0.6;5.6;7;2;9;0.5;0.2;0.7;4.4;1.3;5.7;9.6;2.7;6.1;2;0.2;1.3;17;1.3;10.8;25.6;2;0.2;1.3;2.0;0;0.0;0.0;0.0
KOVÁCS Ákos;2024-25;Atomerőmű SE;18;87;4.9;12;0.7;7.5;18.3;3.00;4;0.2;2.5;12.5;5;2;7;0.3;0.1;0.4;3.1;1.3;4.4;6.4;2.7;4.6;4;0.2;2.5;14;0.8;8.7;31.2;3;0.2;1.9;0.8;0;0.0;0.0;0.0
TAKÁCS Dániel;2022-23;Bp. Honvéd;11;85;7.7;5;0.5;3.4;10.6;1.00;5;0.5;3.4;20.8;6;3;9;0.5;0.3;0.8;4.0;2.0;6.1;9.0;3.6;6.0;4;0.4;2.7;14;1.3;9.4;30.4;3;0.3;2.0;0.6;0;0.0;0.0;0.0
VERASZTÓ Péter;2024-25;Falco KC;28;82;2.9;11;0.4;7.4;17.0;1.22;9;0.3;6.0;24.5;9;1;10;0.3;0.0;0.4;6.0;0.7;6.7;11.1;1.5;6.7;9;0.3;6.0;7;0.3;4.7;58.7;4;0.1;2.7;0.4;1;0.0;0.7;1.2
SEBŐK András;2022-23;Szolnok;15;81;5.4;3;0.2;2.1;5.7;0.75;4;0.3;2.8;15.2;6;4;10;0.4;0.3;0.7;4.1;2.8;6.9;8.7;5.5;7.1;6;0.4;4.1;14;0.9;9.6;28.9;3;0.2;2.1;0.8;0;0.0;0.0;0.0
VÁRSZEGI Ádám;2024-25;DEAC;12;79;6.6;3;0.3;2.2;5.8;0.75;4;0.3;2.9;16.7;6;1;7;0.5;0.1;0.6;4.3;0.7;5.0;7.9;1.4;4.8;1;0.1;0.7;3;0.3;2.2;131.4;4;0.3;2.9;1.0;0;0.0;0.0;0.0
CSIZMADIA Attila;2022-23;Atomerőmű SE;10;76;7.6;3;0.3;2.1;6.0;1.50;2;0.2;1.4;8.0;12;4;16;1.2;0.4;1.6;8.5;2.8;11.4;16.2;6.0;11.4;2;0.2;1.4;10;1.0;7.1;38.0;3;0.3;2.1;1.5;2;0.2;1.4;2.5
BONIFERT Bendegúz;2022-23;NYBS;12;76;6.3;4;0.3;2.9;8.7;0.80;5;0.4;3.6;26.1;13;1;14;1.1;0.1;1.2;9.4;0.7;10.1;20.6;1.4;10.5;7;0.6;5.0;10;0.8;7.2;38.0;2;0.2;1.4;0.4;0;0.0;0.0;0.0
GULYÁS Milán;2023-24;Atomerőmű SE;6;75;12.5;5;0.8;3.7;12.2;0.83;6;1.0;4.4;25.2;9;1;10;1.5;0.2;1.7;6.7;0.7;7.4;12.8;1.6;7.5;3;0.5;2.2;16;2.7;11.8;23.4;3;0.5;2.2;0.5;3;0.5;2.2;3.9
NÉMETH András;2024-25;PVSK;11;74;6.8;3;0.3;2.2;6.3;1.00;3;0.3;2.2;20.1;1;0;1;0.1;0.0;0.1;0.7;0.0;0.7;1.4;0.0;0.7;2;0.2;1.5;8;0.7;5.8;46.4;3;0.3;2.2;1.0;1;0.1;0.7;1.3
ARABO Abraham;2023-24;Szolnok;6;72;12.0;0;0.0;0.0;0.0;0.00;7;1.2;5.2;25.1;7;10;17;1.2;1.7;2.8;5.2;7.5;12.7;10.9;14.1;12.6;4;0.7;3.0;10;1.7;7.5;36.0;2;0.3;1.5;0.3;0;0.0;0.0;0.0
PALLAI Tamás;2022-23;Szolnok;4;68;17.0;4;1.0;3.4;11.5;0.80;5;1.3;4.2;15.2;3;2;5;0.8;0.5;1.3;2.5;1.7;4.2;5.4;3.8;4.6;4;1.0;3.4;8;2.0;6.7;42.5;5;1.3;4.2;1.0;3;0.8;2.5;4.6
CSORVÁSI Milán;2022-23;Kaposvár;9;65;7.2;0;0.0;0.0;0.0;0.00;8;0.9;6.7;28.8;4;6;10;0.4;0.7;1.1;3.3;5.0;8.4;6.6;12.1;9.0;6;0.7;5.0;6;0.7;5.0;54.2;1;0.1;0.8;0.1;2;0.2;1.7;3.0
BALOGH Máté;2022-23;Körmend;8;63;7.9;4;0.5;3.5;10.1;1.33;3;0.4;2.6;14.4;5;2;7;0.6;0.3;0.9;4.3;1.7;6.0;9.4;3.5;6.3;1;0.1;0.9;4;0.5;3.4;78.8;4;0.5;3.4;1.3;0;0.0;0.0;0.0
KÉKESI Kolos;2022-23;Atomerőmű SE;8;61;7.6;3;0.4;2.7;6.9;1.00;3;0.4;2.7;18.2;4;3;7;0.5;0.4;0.9;3.6;2.7;6.2;6.9;5.7;6.3;1;0.1;0.9;3;0.4;2.7;101.7;2;0.3;1.8;0.7;1;0.1;0.9;1.6
SCHMERA Gergely;2024-25;Körmend;13;58;4.4;3;0.2;2.8;8.0;3.00;1;0.1;0.9;7.8;6;5;11;0.5;0.4;0.8;5.6;4.7;10.4;12.0;9.2;10.5;3;0.2;2.8;8;0.6;7.5;36.0;1;0.1;0.9;1.0;0;0.0;0.0;0.0
MAJOR Bulcsú;2024-25;Bp. Honvéd;10;56;5.6;2;0.2;2.0;6.4;1.00;2;0.2;2.0;10.9;4;0;4;0.4;0.0;0.4;4.0;0.0;4.0;8.3;0.0;4.0;3;0.3;3.0;8;0.8;8.0;35.0;6;0.6;6.0;3.0;0;0.0;0.0;0.0
LUKÁCSI Gábor;2023-24;NKA Pécs;6;55;9.2;4;0.7;3.9;12.8;1.33;3;0.5;2.9;14.1;3;0;3;0.5;0.0;0.5;2.9;0.0;2.9;6.0;0.0;2.8;3;0.5;2.9;3;0.5;2.9;91.7;0;0.0;0.0;0.0;0;0.0;0.0;0.0
CSÁTALJAY Péter;2022-23;Sopron;8;54;6.8;0;0.0;0.0;0.0;0.00;2;0.3;2.1;11.7;4;2;6;0.5;0.3;0.8;4.2;2.1;6.2;7.4;4.1;5.8;4;0.5;4.1;10;1.3;10.4;27.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0
ANTALICS Dániel;2023-24;Kaposvár;8;54;6.8;0;0.0;0.0;0.0;0.00;2;0.3;2.0;15.4;6;2;8;0.8;0.3;1.0;6.1;2.0;8.1;13.6;3.8;8.2;0;0.0;0.0;14;1.8;14.2;19.3;0;0.0;0.0;0.0;0;0.0;0.0;0.0
KUCSORA Csaba;2024-25;Atomerőmű SE;18;53;2.9;4;0.2;4.1;10.6;1.33;3;0.2;3.1;13.6;2;0;2;0.1;0.0;0.1;2.1;0.0;2.1;4.1;0.0;2.2;0;0.0;0.0;8;0.4;8.2;32.8;3;0.2;3.1;1.0;0;0.0;0.0;0.0
Darko BAJO;2024-25;Bp. Honvéd;3;53;17.6;2;0.7;2.1;6.6;2.00;1;0.3;1.0;14.5;8;6;14;2.7;2.0;4.7;8.3;6.2;14.5;18.0;12.3;15.0;1;0.3;1.0;7;2.3;7.2;37.8;1;0.3;1.0;1.0;0;0.0;0.0;0.0
RÁTGÉBER Tamás;2023-24;NKA Pécs;11;52;4.7;7;0.6;7.1;17.2;2.33;3;0.3;3.0;16.9;2;0;2;0.2;0.0;0.2;2.0;0.0;2.0;4.0;0.0;2.0;2;0.2;2.0;6;0.5;6.0;43.3;4;0.4;4.0;1.3;0;0.0;0.0;0.0
TAKÁCS Martin;2022-23;Alba Fehérvár;13;51;3.9;7;0.5;7.5;17.4;1.75;4;0.3;4.3;24.5;5;1;6;0.4;0.1;0.5;5.3;1.1;6.4;11.5;2.6;7.3;3;0.2;3.2;8;0.6;8.5;31.9;2;0.2;2.1;0.5;0;0.0;0.0;0.0
GÁL Csongor;2024-25;DEAC;8;51;6.3;4;0.5;4.3;12.5;4.00;1;0.1;1.1;6.3;7;0;7;0.9;0.0;0.9;7.4;0.0;7.4;14.9;0.0;7.4;5;0.6;5.3;7;0.9;7.4;36.2;2;0.3;2.1;2.0;0;0.0;0.0;0.0
DÁVID Benjámin;2024-25;Kecskemét;6;51;8.6;2;0.3;2.2;9.5;0.67;3;0.5;3.3;12.8;5;1;6;0.8;0.2;1.0;5.5;1.1;6.6;12.3;2.1;6.8;4;0.7;4.4;7;1.2;7.7;36.7;0;0.0;0.0;0.0;0;0.0;0.0;0.0
REIZINGER Máté;2022-23;Bp. Honvéd;10;50;5.0;4;0.4;4.4;16.0;2.00;2;0.2;2.2;12.2;1;3;4;0.1;0.3;0.4;1.1;3.3;4.4;2.4;6.0;4.3;3;0.3;3.3;7;0.7;7.6;35.7;4;0.4;4.4;2.0;1;0.1;1.1;2.1
SEBŐK András;2023-24;Szolnok;13;50;3.8;2;0.2;2.1;5.7;0.40;5;0.4;5.3;24.0;4;2;6;0.3;0.2;0.5;4.3;2.1;6.4;9.2;4.4;6.8;7;0.5;7.5;10;0.8;10.7;25.0;1;0.1;1.1;0.2;0;0.0;0.0;0.0
Kris MARTIN;2023-24;Alba Fehérvár;5;49;9.8;3;0.6;3.2;8.7;1.50;2;0.4;2.1;8.8;3;0;3;0.6;0.0;0.6;3.2;0.0;3.2;5.9;0.0;3.1;3;0.6;3.2;4;0.8;4.3;61.3;0;0.0;0.0;0.0;1;0.2;1.1;1.7
TARJÁN Izsák;2022-23;Bp. Honvéd;11;48;4.4;4;0.4;4.5;14.7;1.33;3;0.3;3.4;24.1;5;6;11;0.5;0.5;1.0;5.6;6.8;12.4;11.9;13.0;12.4;2;0.2;2.3;5;0.5;5.6;48.0;1;0.1;1.1;0.3;1;0.1;1.1;2.2
FLASÁR Botond;2024-25;DEAC;10;47;4.7;2;0.2;2.3;8.8;0.50;4;0.4;4.6;17.5;7;0;7;0.7;0.0;0.7;8.1;0.0;8.1;16.7;0.0;8.2;3;0.3;3.5;5;0.5;5.8;46.8;1;0.1;1.2;0.3;1;0.1;1.2;2.2
CZERMANN Patrik;2024-25;DEAC;8;46;5.7;0;0.0;0.0;0.0;0.00;1;0.1;1.2;6.8;6;9;15;0.8;1.1;1.9;7.3;10.9;18.2;13.9;21.7;17.7;3;0.4;3.6;13;1.6;15.8;17.5;1;0.1;1.2;1.0;0;0.0;0.0;0.0
BALSAY Ádám;2022-23;Alba Fehérvár;11;45;4.1;6;0.5;7.2;16.0;2.00;3;0.3;3.6;18.9;3;0;3;0.3;0.0;0.3;3.6;0.0;3.6;7.8;0.0;4.2;2;0.2;2.4;4;0.4;4.8;56.3;2;0.2;2.4;0.7;1;0.1;1.2;2.5
ÁRVA-FILE Balázs;2023-24;Oroszlány;14;45;3.2;0;0.0;0.0;0.0;0.00;1;0.1;1.2;9.1;8;1;9;0.6;0.1;0.6;9.2;1.2;10.4;18.5;2.5;10.9;0;0.0;0.0;11;0.8;12.7;20.5;1;0.1;1.2;1.0;0;0.0;0.0;0.0
HERCZEG Kristóf;2022-23;Körmend;13;44;3.4;6;0.5;7.3;18.9;2.00;3;0.2;3.7;19.8;2;0;2;0.2;0.0;0.2;2.4;0.0;2.4;5.3;0.0;2.6;4;0.3;4.9;6;0.5;7.3;36.7;1;0.1;1.2;0.3;0;0.0;0.0;0.0
KERTLI Ádám;2024-25;Kecskemét;4;44;10.9;5;1.3;6.4;24.7;1.25;4;1.0;5.1;17.1;1;0;1;0.3;0.0;0.3;1.3;0.0;1.3;2.9;0.0;1.4;3;0.8;3.9;10;2.5;12.8;21.8;0;0.0;0.0;0.0;1;0.3;1.3;2.4
POLSTER Attila;2023-24;Sopron;9;43;4.8;0;0.0;0.0;0.0;;0;0.0;0.0;0.0;4;3;7;0.4;0.3;0.8;5.0;3.7;8.7;10.4;7.3;8.8;0;0.0;0.0;6;0.7;7.5;35.8;1;0.1;1.2;;0;0.0;0.0;0.0
SÁGODI Róbert;2022-23;DEAC;6;42;7.0;7;1.2;9.2;26.9;7.00;1;0.2;1.3;6.5;2;1;3;0.3;0.2;0.5;2.6;1.3;3.9;5.8;2.8;4.3;1;0.2;1.3;4;0.7;5.2;52.5;2;0.3;2.6;2.0;0;0.0;0.0;0.0
ASZTALOS Miklós;2024-25;Kecskemét;3;42;14.0;3;1.0;4.0;13.7;1.00;3;1.0;4.0;23.1;2;3;5;0.7;1.0;1.7;2.7;4.0;6.7;6.1;7.8;7.0;3;1.0;4.0;6;2.0;8.1;35.0;1;0.3;1.3;0.3;0;0.0;0.0;0.0
TAKÁCS Zsolt;2022-23;Falco KC;16;41;2.6;0;0.0;0.0;0.0;0.00;1;0.1;1.3;10.0;8;1;9;0.5;0.1;0.6;10.6;1.3;11.9;20.1;3.1;12.4;2;0.1;2.7;5;0.3;6.6;41.0;2;0.1;2.7;2.0;2;0.1;2.7;5.0
BOR Gábor;2023-24;NKA Pécs;8;41;5.1;5;0.6;6.4;22.8;;0;0.0;0.0;0.0;7;0;7;0.9;0.0;0.9;9.0;0.0;9.0;17.4;0.0;8.5;3;0.4;3.8;5;0.6;6.4;41.0;1;0.1;1.3;;0;0.0;0.0;0.0
SZŐKE Bálint;2022-23;Kaposvár;4;40;10.0;1;0.3;1.4;3.8;0.33;3;0.8;4.1;19.4;5;1;6;1.3;0.3;1.5;6.8;1.4;8.2;14.9;3.1;9.1;1;0.3;1.4;2;0.5;2.7;100.0;1;0.3;1.4;0.3;0;0.0;0.0;0.0
MOKÁNSZKI Máté;2022-23;Szolnok;5;40;8.0;0;0.0;0.0;0.0;0.00;2;0.4;2.9;16.9;2;1;3;0.4;0.2;0.6;2.9;1.5;4.4;6.5;2.8;4.5;3;0.6;4.4;4;0.8;5.8;50.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0
HAJDUK Attila Dominik;2023-24;Kaposvár;4;39;9.8;0;0.0;0.0;0.0;;0;0.0;0.0;0.0;5;1;6;1.3;0.3;1.5;6.8;1.4;8.2;14.9;2.5;8.1;0;0.0;0.0;3;0.8;4.1;65.0;1;0.3;1.4;;0;0.0;0.0;0.0
TÓTH Patrik;2024-25;Kecskemét;5;39;7.7;2;0.4;2.9;8.2;1.00;2;0.4;2.9;22.2;5;0;5;1.0;0.0;1.0;7.2;0.0;7.2;16.4;0.0;7.7;2;0.4;2.9;6;1.2;8.7;32.3;1;0.2;1.4;0.5;0;0.0;0.0;0.0
VÁRSZEGI Ádám;2023-24;DEAC;10;38;3.8;3;0.3;4.4;14.0;1.00;3;0.3;4.4;24.3;6;1;7;0.6;0.1;0.7;8.8;1.5;10.3;17.0;2.9;10.0;1;0.1;1.5;2;0.2;2.9;95.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0
MAKKOS Dávid;2023-24;ZTE;7;37;5.3;3;0.4;4.4;11.3;0.75;4;0.6;5.8;36.7;1;1;2;0.1;0.1;0.3;1.5;1.5;2.9;3.0;3.1;3.0;1;0.1;1.5;3;0.4;4.4;61.7;0;0.0;0.0;0.0;0;0.0;0.0;0.0
KERTÉSZ Dávid;2024-25;Alba Fehérvár;10;36;3.6;1;0.1;1.4;3.4;0.50;2;0.2;2.9;18.2;3;4;7;0.3;0.4;0.7;4.3;5.8;10.1;9.1;13.2;11.1;0;0.0;0.0;5;0.5;7.2;35.9;2;0.2;2.9;1.0;0;0.0;0.0;0.0
LALUSKA Bence;2023-24;Szedeák;8;35;4.4;3;0.4;4.3;10.4;1.50;2;0.3;2.9;17.6;5;1;6;0.6;0.1;0.8;7.2;1.4;8.6;15.3;3.0;9.1;2;0.3;2.9;4;0.5;5.7;43.8;0;0.0;0.0;0.0;0;0.0;0.0;0.0
HAJDUK Attila Dominik;2022-23;Kaposvár;6;34;5.7;1;0.2;1.6;3.8;1.00;1;0.2;1.6;11.2;5;0;5;0.8;0.0;0.8;8.0;0.0;8.0;16.6;0.0;8.8;2;0.3;3.2;1;0.2;1.6;170.0;1;0.2;1.6;1.0;0;0.0;0.0;0.0
TAKÁCS Martin;2023-24;Alba Fehérvár;12;34;2.8;4;0.3;6.1;15.3;1.33;3;0.3;4.6;33.3;2;0;2;0.2;0.0;0.2;3.1;0.0;3.1;6.2;0.0;3.2;0;0.0;0.0;4;0.3;6.1;42.5;1;0.1;1.5;0.3;0;0.0;0.0;0.0
GÓBI Marcell;2022-23;Alba Fehérvár;12;33;2.8;0;0.0;0.0;0.0;0.00;2;0.2;3.3;66.7;2;0;2;0.2;0.0;0.2;3.3;0.0;3.3;7.2;0.0;3.8;0;0.0;0.0;9;0.8;14.8;18.3;2;0.2;3.3;1.0;0;0.0;0.0;0.0
SIMÓ Bence;2023-24;ZTE;7;32;4.6;2;0.3;3.3;8.7;;0;0.0;0.0;0.0;4;0;4;0.6;0.0;0.6;6.6;0.0;6.6;13.6;0.0;7.1;0;0.0;0.0;2;0.3;3.3;80.0;2;0.3;3.3;;0;0.0;0.0;0.0
