Játékos;Szezon;Csapat;Min%;On40;Net40;Net RTG;Net Pace;Net Tm PTS 40;Net Tm RTG;Net Tm Close att. rate;Net Tm 3P att. rate;Net Tm EFG %;Net Tm FT made rate;Net Tm ORB %;Net Tm AST %;Net Tm TOV %;Net Tm BLK %;Net Opp PTS 40;Net Opp RTG;Net Opp Close att. rate;Net Opp 3P att. rate;Net Opp EFG %;Net Opp FT made rate;Net Opp ORB %;Net Opp AST %;Net Opp TOV %;Net Opp BLK %
DOKTOR Péter;2023-24;Körmend;26.7;-2.3;2.4;3.2;0.8;-2.2;-4.2;-0.003;-0.019;-0.023;0.056;-0.4;3.0;2.0;0.8;-4.6;-7.4;-0.024;0.016;-0.059;0.039;2.5;-2.9;0.0;0.3
TÓTH Barna;2023-24;Kecskemét;26.6;2.4;5.9;8.2;0.7;0.7;0.0;0.019;-0.022;0.031;0.040;-0.9;-4.7;2.6;-1.9;-5.2;-8.2;0.050;-0.035;-0.040;-0.021;1.1;-7.7;0.0;1.4
TAKÁCS Norbert;2022-23;Sopron;26.4;0.3;-3.3;-4.6;-0.5;2.9;4.8;0.004;0.026;0.009;-0.022;1.2;7.8;-0.2;-3.3;6.2;9.4;-0.010;0.026;0.058;-0.013;4.8;2.7;0.0;0.4
Eric ADAMS;2022-23;Körmend;26.3;-3.5;-1.9;-2.6;1.1;-6.6;-10.6;-0.050;0.050;-0.029;0.032;-2.6;0.2;3.5;0.5;-4.7;-8.0;0.024;-0.010;-0.042;0.003;-2.2;-5.2;0.0;-3.4
REIZINGER Máté;2024-25;Bp. Honvéd;26.3;-1.1;3.2;4.3;-0.7;-1.0;-0.3;0.023;-0.013;-0.021;0.006;6.4;0.7;0.5;2.6;-4.2;-4.6;-0.041;0.040;-0.008;0.003;-5.8;4.7;1.7;0.3
GARAMVÖLGYI Ákos;2024-25;DEAC;26.2;-6.9;-10.5;-14.6;-0.4;-5.9;-7.7;-0.061;0.033;-0.037;-0.073;1.2;-5.1;-0.3;-2.2;4.6;6.9;0.029;-0.005;0.049;-0.046;-1.6;-1.3;-0.7;-1.2
Maliek WHITE;2022-23;Sopron;26.2;0.2;-3.4;-4.7;-2.3;-1.7;1.3;-0.015;0.042;-0.023;0.004;3.6;5.6;-1.3;-3.1;1.7;6.0;0.043;-0.017;-0.011;0.001;5.2;4.6;0.0;-1.6
Ray ONA EMBO;2023-24;ZTE;26.2;-4.9;-0.4;-0.8;-2.7;-3.1;-0.2;0.046;-0.030;-0.014;0.022;4.2;-5.0;0.5;0.9;-2.7;0.6;-0.052;0.054;-0.014;-0.006;3.4;5.8;0.0;2.3
TÓTH Barna;2024-25;Kecskemét;26.1;-5.4;-0.2;-0.3;-0.3;-2.8;-3.5;-0.010;-0.006;-0.010;0.003;-2.4;-10.7;-0.1;2.3;-2.6;-3.2;0.049;-0.025;-0.017;0.041;3.1;2.4;2.3;1.2
FRANK Áron;2024-25;PVSK;26.1;-7.5;2.9;3.4;-3.0;-5.1;-2.6;-0.011;0.014;0.008;-0.061;-1.4;0.0;-0.3;1.9;-8.0;-6.0;0.018;0.002;-0.063;-0.022;2.2;5.4;-1.2;-2.8
Milan LUŽAIĆ;2023-24;NKA Pécs;26.0;-1.2;-1.0;-1.2;2.6;-1.1;-5.2;-0.036;0.032;-0.024;-0.070;-2.9;-10.1;-1.2;0.0;-0.1;-4.0;0.023;-0.016;0.004;-0.017;-0.5;-5.4;0.0;0.1
Vasilije BAĆOVIĆ;2024-25;NKA Pécs;26.0;3.6;4.0;5.4;0.4;1.6;1.6;0.022;-0.012;0.030;-0.011;-1.2;-3.6;1.6;3.1;-2.4;-3.8;0.041;-0.045;-0.026;-0.050;3.8;0.5;0.6;-0.2
Tavarius SHINE;2022-23;Sopron;25.8;2.8;0.2;0.2;-0.1;-3.3;-4.5;0.000;0.003;-0.037;0.038;1.9;0.5;0.2;3.4;-3.5;-4.7;-0.036;0.003;-0.014;0.023;-5.9;3.8;0.0;1.6
TANOH DEZ András;2024-25;Bp. Honvéd;25.7;-0.8;3.5;4.9;2.4;1.7;-1.2;0.031;-0.004;0.053;0.015;-5.3;-9.1;3.9;1.4;-1.9;-6.1;0.025;-0.029;-0.041;-0.014;-4.5;-0.4;-2.3;-0.7
FAZEKAS Csaba;2024-25;Sopron;25.4;-5.5;-9.9;-13.4;0.4;-4.6;-6.7;-0.034;0.055;-0.021;0.021;-0.5;7.7;1.6;-0.6;5.3;6.7;0.003;-0.027;0.048;0.070;-3.9;2.5;0.7;-1.5
Anthony DURHAM;2023-24;Szolnok;25.0;-8.7;-10.9;-14.9;-2.3;-10.9;-11.5;-0.039;0.032;-0.050;-0.048;0.1;-6.1;1.5;0.6;0.0;3.4;0.018;0.027;0.013;0.063;1.8;-3.1;0.0;-0.2
MUCZA Tamás;2022-23;Oroszlány;24.9;-6.4;-5.7;-8.1;-1.5;2.5;5.6;-0.020;0.024;0.023;-0.010;2.8;-0.2;-0.4;-1.0;8.2;13.7;0.002;-0.014;0.029;0.054;-2.2;-1.2;0.0;-0.4
KRIVACSEVICS Markó;2023-24;Falco KC;24.8;10.7;-13.1;-16.8;-2.5;-6.9;-5.1;0.052;-0.046;-0.021;0.000;4.0;-0.1;0.5;0.1;6.2;11.7;-0.026;0.027;0.025;0.050;5.9;5.4;0.0;1.2
KOVÁCS Benedek;2023-24;Falco KC;24.7;16.4;-5.5;-7.0;-0.8;-1.7;-0.8;-0.017;0.027;-0.012;0.063;-1.3;-4.5;0.0;-1.8;3.8;6.2;0.018;-0.026;0.041;-0.029;1.9;-5.2;0.0;2.6
GARAMVÖLGYI Ákos;2022-23;DEAC;24.6;-3.4;-2.4;-3.7;-5.7;-7.8;-2.4;-0.090;0.067;-0.043;-0.020;-1.0;3.2;-3.5;-1.8;-5.4;1.3;-0.013;0.015;-0.001;-0.018;0.0;-0.4;0.0;0.6
TAIWO Samuel;2022-23;Atomerőmű SE;24.6;-9.0;-12.6;-17.2;-0.1;-8.0;-10.8;-0.011;-0.030;-0.018;-0.034;-1.1;-9.5;3.0;3.0;4.6;6.4;-0.016;-0.006;0.024;0.066;-0.5;-6.6;0.0;0.6
Aleksandar SOKOLOVIĆ;2024-25;Bp. Honvéd;24.3;-1.9;2.1;2.9;1.9;3.2;1.6;-0.029;0.020;-0.007;-0.006;2.2;6.1;-1.2;-0.3;1.1;-1.3;-0.019;0.012;0.020;-0.008;-2.3;-2.1;1.0;-0.8
NEUWIRTH Bence;2023-24;DEAC;24.2;-11.7;-10.5;-15.0;-1.0;-6.5;-7.9;-0.038;0.035;-0.023;0.003;-0.6;-5.7;2.4;-0.1;4.0;7.1;0.003;-0.004;0.021;-0.003;0.6;-2.0;0.0;-0.3
ILLÉS Máté;2023-24;Oroszlány;24.2;6.8;7.7;10.2;-1.0;-0.8;0.5;-0.071;0.075;0.006;-0.001;0.0;-0.4;-1.2;-0.2;-8.5;-9.7;0.028;-0.015;-0.031;-0.027;-4.4;-2.0;0.0;0.5
DOROGI Gergő;2023-24;Atomerőmű SE;24.1;-3.9;-1.2;-2.0;-6.8;-7.0;0.8;-0.031;0.055;-0.015;0.061;0.7;-1.2;-1.2;-2.4;-5.8;2.8;0.015;-0.004;-0.019;0.086;1.9;3.4;0.0;-1.6
Amorie ARCHIBALD;2023-24;Sopron;23.8;-3.6;2.9;3.9;0.9;-1.4;-3.2;0.101;-0.074;-0.047;0.064;0.6;-12.2;-2.1;-1.2;-4.3;-7.1;-0.054;0.031;0.005;-0.047;-4.9;-2.9;0.0;-0.3
Anthony MATHIS;2023-24;Sopron;23.6;-4.3;2.0;2.8;2.2;7.9;7.4;-0.034;0.045;0.023;0.045;4.5;8.9;0.7;-2.7;5.9;4.6;0.016;-0.026;0.019;0.141;-0.9;-1.6;0.0;3.1
Aleksa NOVAKOVIĆ;2024-25;Falco KC;23.6;12.7;-8.1;-11.0;-0.5;-3.0;-3.3;-0.003;0.002;-0.034;-0.035;3.2;-7.2;0.0;-1.3;5.0;7.7;0.018;-0.004;0.038;-0.023;2.3;-7.5;-1.6;-1.3
RADÓ Ádám;2024-25;PVSK;23.5;-9.4;0.3;0.3;-0.7;2.0;3.8;0.005;-0.036;-0.010;0.021;4.5;9.9;-2.3;1.6;1.7;3.5;0.003;0.010;0.036;0.043;-4.3;-1.7;-0.5;-0.2
Brendan BAILEY;2023-24;Szedeák;23.5;-2.8;-1.2;-1.6;-0.3;-3.7;-4.4;-0.043;0.038;-0.044;0.051;0.9;-4.7;0.5;0.5;-2.5;-2.8;-0.029;0.025;-0.030;0.074;0.6;-2.6;0.0;-0.4
Matt TIBY;2024-25;Falco KC;23.4;25.8;9.0;12.3;0.0;5.7;7.7;-0.018;0.006;0.065;0.061;-4.6;8.8;0.4;-0.8;-3.3;-4.7;0.021;-0.052;-0.014;-0.044;3.5;-4.8;2.2;0.8
Darnell BRODIE;2024-25;NKA Pécs;23.2;3.1;3.2;4.5;-3.9;-1.1;4.5;0.010;-0.039;0.002;-0.001;4.5;10.8;-0.1;2.8;-4.2;0.0;-0.104;0.078;-0.005;-0.067;-2.8;1.1;-2.7;0.3
SUPOLA Zoltán;2022-23;Sopron;23.2;0.1;-3.4;-4.7;-2.3;-6.7;-5.8;0.023;-0.002;-0.029;-0.013;5.2;-3.3;0.3;-0.6;-3.3;-1.1;0.006;-0.006;-0.034;-0.025;0.1;0.3;0.0;0.8
FILIPOVICS Stefan;2022-23;Szedeák;23.2;-3.9;-3.3;-4.8;-3.5;-4.8;-1.4;0.020;-0.001;-0.002;0.012;-3.4;1.6;-1.3;3.3;-1.5;3.4;-0.036;0.040;0.013;0.022;-2.7;3.6;0.0;-0.5
KOPÁCSI Ákos;2022-23;Bp. Honvéd;23.1;-6.7;1.0;1.1;-2.9;-8.5;-7.9;-0.054;0.067;-0.072;0.031;1.0;9.2;-0.9;0.0;-9.5;-9.0;-0.030;0.019;-0.046;0.000;-3.1;7.4;0.0;0.3
Dayon GRIFFIN;2022-23;Kaposvár;22.7;-2.3;2.2;3.0;1.1;4.2;4.0;-0.005;0.029;0.048;-0.033;-1.2;9.7;2.1;4.3;2.0;1.0;-0.004;0.015;-0.018;0.046;0.7;1.6;0.0;1.4
HALMAI Dániel;2022-23;Kaposvár;22.7;-2.2;2.2;3.2;1.7;0.5;-1.9;0.003;0.015;-0.028;0.006;3.3;4.3;0.1;-2.4;-1.7;-5.1;-0.031;0.019;-0.006;0.034;0.7;0.2;0.0;-0.1
Isaiah PHILMORE;2024-25;Alba Fehérvár;22.6;-5.6;-7.1;-9.7;-2.7;-5.9;-3.7;-0.019;0.006;-0.025;-0.027;-4.5;-12.1;-0.5;-1.4;1.2;5.9;0.013;0.010;0.038;-0.044;2.8;1.8;-1.0;-0.5
GÁSPÁR Mátyás;2024-25;Körmend;22.6;1.5;7.0;9.3;-0.9;2.5;4.8;-0.027;0.027;0.021;0.079;0.4;0.5;-0.1;3.6;-4.4;-4.5;-0.007;-0.005;-0.074;0.108;1.3;5.7;-0.8;1.5
Anton COOK;2023-24;Körmend;22.4;5.6;12.5;16.7;-1.1;0.0;1.8;-0.010;0.004;0.008;-0.041;-1.5;-9.2;-1.0;0.0;-12.5;-14.9;0.015;-0.019;-0.106;0.015;-0.7;1.1;0.0;-2.3
Jamarius BURTON;2024-25;Oroszlány;22.3;2.1;12.0;16.3;1.1;5.4;5.6;0.031;-0.063;0.046;-0.006;-3.0;-2.7;0.6;1.0;-6.6;-10.7;0.008;-0.035;-0.055;-0.007;1.5;-13.0;1.4;-1.5
DeMarco DICKERSON;2022-23;NYBS;22.3;-14.7;-1.9;-1.2;6.0;3.9;-2.5;0.010;-0.049;0.000;-0.031;-7.1;-0.4;-1.2;-2.2;5.8;-1.3;-0.049;0.029;0.003;0.082;3.3;5.3;0.0;1.0
GULYÁS Milán;2022-23;Atomerőmű SE;22.0;-6.5;-9.1;-12.4;0.5;-7.4;-10.9;0.010;0.034;-0.054;-0.031;-0.8;-3.6;-0.9;-2.5;1.7;1.5;0.024;-0.004;-0.002;0.007;2.8;-6.5;0.0;2.9
Gligorije RAKOČEVIĆ;2024-25;Alba Fehérvár;21.5;-3.3;-4.0;-5.4;-2.1;-4.0;-1.9;0.038;-0.047;0.029;-0.045;-3.2;8.3;0.9;0.2;0.0;3.5;-0.029;0.002;0.013;-0.051;0.0;0.9;-0.9;0.9
SZALAY Domonkos;2023-24;ZTE;21.4;-13.9;-11.9;-16.4;-1.6;-6.9;-7.1;-0.032;0.004;-0.040;-0.063;-0.6;-7.7;-0.8;-0.4;5.0;9.3;-0.003;0.023;0.047;-0.053;8.3;1.9;0.0;0.8
KASS Balázs;2024-25;Alba Fehérvár;21.3;-4.1;-5.0;-6.7;-0.2;-4.3;-5.5;-0.077;0.063;-0.054;0.007;0.7;-3.0;-2.8;0.4;0.8;1.3;-0.005;0.008;-0.017;0.037;-0.3;2.1;-0.2;3.0
BALOGH Máté;2024-25;Bp. Honvéd;21.2;-9.9;-8.2;-11.7;-2.6;-7.9;-7.3;-0.048;0.022;-0.059;-0.020;2.0;-9.9;-0.3;-1.5;0.3;4.4;-0.018;0.014;0.040;-0.009;7.2;-0.4;4.3;0.8
SZŐKE Bálint;2023-24;Kaposvár;21.2;-7.0;-3.7;-5.4;-0.8;0.4;1.8;0.001;0.001;-0.005;0.121;0.2;2.5;-0.6;-0.6;4.1;7.2;0.015;-0.012;-0.010;0.105;1.8;-8.1;0.0;-3.0
KOVÁCS Benedek;2024-25;Falco KC;21.1;13.0;-7.5;-10.5;0.9;-3.3;-6.0;-0.088;0.079;-0.032;0.076;-3.5;-6.4;2.4;2.4;4.2;4.5;0.021;-0.058;0.008;0.070;-1.3;1.7;-2.7;-0.1
PAÁR Márk;2022-23;Kaposvár;21.0;-7.1;-4.0;-5.6;-1.3;-1.9;-0.6;0.019;0.004;-0.005;-0.008;-3.5;0.6;1.0;-4.1;2.1;5.0;0.055;-0.017;0.046;0.039;3.5;-1.7;0.0;0.3
BOGDÁN Benedek;2023-24;Kaposvár;20.8;-4.4;-0.5;-0.7;-1.4;-4.8;-4.5;0.011;-0.009;-0.039;0.044;-3.7;5.1;-2.2;-0.3;-4.3;-3.8;-0.008;0.030;-0.020;0.057;-1.1;-3.0;0.0;0.3
Seth LEDAY;2024-25;ZTE;20.8;2.1;2.8;3.7;6.1;8.0;1.6;0.012;0.019;0.020;0.018;0.9;-2.3;0.8;2.4;5.2;-2.1;0.039;-0.031;0.006;0.052;4.7;-1.1;3.1;1.0
Sagaba KONATE;2023-24;Körmend;20.7;-11.7;-9.6;-12.0;4.8;-1.4;-8.7;0.012;-0.014;-0.037;0.021;0.4;7.4;3.6;2.5;8.2;3.3;-0.016;0.036;0.034;-0.048;0.5;-0.6;0.0;0.1
FAZEKAS Csaba;2023-24;Sopron;20.7;-14.5;-10.9;-15.6;-3.3;-7.8;-6.0;-0.010;0.005;-0.052;0.017;-0.4;8.2;-1.2;0.6;3.1;9.6;0.000;0.007;0.020;-0.011;0.5;5.5;0.0;-1.2
GÁSPÁR Mátyás;2022-23;DEAC;20.6;-4.5;-3.7;-4.9;6.0;4.6;-2.6;0.033;-0.055;0.009;-0.023;4.3;-8.9;3.6;2.9;8.3;2.3;0.058;-0.034;-0.007;0.013;-0.9;4.5;0.0;0.8
KELENFÖLDI Domonkos;2024-25;Kecskemét;20.6;-10.5;-6.6;-9.2;1.3;-3.1;-6.2;0.017;0.020;-0.007;0.005;0.2;-0.4;3.3;3.7;3.6;3.0;-0.021;0.013;-0.026;0.070;4.9;3.0;-0.3;1.5
Cheikh Mbacke DIONG;2022-23;Alba Fehérvár;20.5;2.3;-8.5;-11.5;-3.0;-8.2;-6.4;0.011;-0.006;-0.023;-0.020;5.8;1.6;2.5;-0.7;0.3;5.1;0.010;0.012;0.020;-0.014;-2.5;1.7;0.0;-1.6
KISS Mátyás;2022-23;Körmend;20.4;-8.0;-7.5;-10.3;-1.6;-7.9;-8.4;-0.061;0.043;-0.035;-0.019;-5.4;9.0;-0.9;-3.0;-0.4;1.9;0.072;-0.063;0.011;-0.004;4.5;-4.2;0.0;-0.3
Brandon PARRISH;2022-23;Körmend;20.4;-5.8;-4.6;-6.3;-0.6;-6.7;-8.3;0.003;-0.023;-0.036;-0.035;-2.5;-3.3;0.3;1.7;-2.1;-2.0;-0.017;-0.021;-0.019;0.052;3.8;-2.4;0.0;-0.1
CSENDES Péter;2024-25;Sopron;20.3;2.3;0.5;0.7;-0.4;2.3;3.8;-0.043;0.056;0.033;-0.041;-2.7;-0.1;-0.3;-2.3;1.8;3.1;-0.035;0.048;0.032;-0.034;-0.1;3.4;-0.4;-0.4
DeAndre DAVIS;2024-25;Szedeák;20.3;-8.2;0.5;0.8;0.0;2.9;4.0;0.006;-0.021;-0.003;-0.040;1.9;1.5;-2.7;0.7;2.3;3.3;0.000;-0.005;0.002;0.017;-6.7;-3.4;-5.4;1.5
MOLNÁR Mátyás;2024-25;PVSK;20.2;-4.2;6.8;9.4;3.0;10.6;9.7;0.007;0.008;0.034;0.079;0.3;0.1;-1.7;-0.6;3.8;0.3;0.013;-0.046;0.013;0.014;-5.0;-5.9;-0.5;-0.7
DOKTOR Péter;2024-25;Körmend;20.1;-12.4;-10.7;-14.5;-1.3;-10.1;-11.6;-0.026;0.062;-0.040;-0.008;-1.5;15.7;1.3;-0.4;0.7;2.9;-0.008;0.004;0.008;0.042;4.3;-1.7;1.6;1.2
BOR Gábor;2024-25;NKA Pécs;20.1;0.3;-0.5;-0.7;0.5;-4.2;-6.4;-0.003;0.048;0.024;0.011;-7.6;4.1;3.9;0.0;-3.7;-5.8;-0.011;0.024;-0.017;0.001;3.7;14.3;5.1;3.5
HERGER Salamon;2023-24;NKA Pécs;20.1;1.9;2.9;3.9;0.0;3.2;4.4;0.004;-0.033;0.010;0.008;1.9;-2.8;-0.8;1.2;0.3;0.5;-0.016;0.026;-0.007;0.009;1.3;7.3;0.0;-1.5
SZABÓ Zsolt;2022-23;Alba Fehérvár;20.1;7.6;-1.9;-2.4;-1.4;1.4;4.3;-0.024;0.047;-0.017;0.052;3.5;-1.2;-2.3;-3.5;3.3;6.7;0.023;-0.001;0.027;0.148;-3.7;-0.3;0.0;-1.2
Rahlir HOLLIS-JEFFERSON;2023-24;Oroszlány;20.1;0.7;-0.3;-0.3;-0.2;-7.1;-8.9;0.022;-0.023;-0.047;0.088;-3.2;3.0;0.9;0.6;-6.8;-8.6;0.031;-0.003;-0.078;0.079;2.2;-1.7;0.0;-1.1
Tevin BROWN;2024-25;ZTE;20.0;7.4;9.5;12.6;3.1;9.7;8.2;-0.028;0.049;0.021;-0.015;4.1;0.2;-1.4;1.3;0.2;-4.3;0.057;-0.037;-0.009;0.038;-1.3;-7.4;1.3;0.4
NÉMETH Ákos;2022-23;ZTE;19.8;-10.7;-13.9;-19.0;-0.9;-12.9;-16.2;-0.018;0.035;-0.084;0.087;-2.8;-14.7;1.7;1.0;1.0;2.8;-0.006;0.008;-0.007;0.061;-3.4;0.4;0.0;-1.6
Milić STAROVLAH;2022-23;Szedeák;19.8;-4.3;-3.6;-4.8;4.0;-2.6;-9.3;-0.050;0.008;-0.022;-0.026;-0.3;-1.9;4.0;-3.5;1.0;-4.5;-0.058;0.003;-0.014;0.014;-3.1;-4.6;0.0;-2.0
MERKL Barna;2024-25;PVSK;19.5;-15.0;-6.7;-9.3;-1.3;-3.6;-2.9;0.038;-0.054;-0.025;-0.006;4.2;2.9;1.1;0.1;3.1;6.4;-0.011;-0.007;0.035;-0.055;2.4;-6.8;-1.3;1.0
Tomas LEKŪNAS;2023-24;ZTE;19.3;-2.8;2.2;3.1;1.1;1.7;0.6;-0.040;0.066;-0.010;0.048;2.7;7.1;0.0;0.2;-0.5;-2.5;0.040;-0.056;-0.015;0.011;-2.5;-7.9;0.0;-3.8
TAKÁCS Kristóf;2022-23;Körmend;19.3;-4.8;-3.3;-4.7;-2.2;-3.4;-1.4;0.031;-0.069;0.020;-0.004;-2.1;-0.7;-0.4;-2.6;-0.1;3.3;-0.006;-0.002;0.016;0.020;3.5;4.6;0.0;-2.2
KÖRMENDI Bence;2024-25;Kecskemét;19.1;-3.8;1.9;2.4;-2.3;-0.3;3.2;-0.046;0.054;0.010;-0.011;6.1;1.1;0.3;-1.4;-2.2;0.8;0.033;-0.017;-0.001;0.029;4.4;1.0;1.6;0.0
Jr. CLAY;2023-24;Szolnok;19.0;-1.6;-1.3;-1.6;2.6;-0.5;-4.4;0.000;0.008;-0.041;-0.025;-3.3;-0.9;-1.8;1.6;0.8;-2.8;-0.007;0.009;-0.009;-0.020;-0.2;9.0;0.0;3.4
BALSAY Ádám;2024-25;Oroszlány;18.9;-18.4;-13.8;-18.1;2.3;-5.6;-10.6;-0.008;0.023;-0.031;-0.020;-0.7;-2.9;2.3;-0.2;8.2;7.5;0.025;-0.011;-0.002;0.053;0.6;4.2;-2.9;2.2
Harrison HENDERSON;2022-23;NYBS;18.7;-20.7;-9.2;-11.0;3.6;-4.3;-10.0;-0.032;-0.029;-0.039;-0.006;-5.7;3.4;1.0;-1.2;4.9;1.0;-0.083;0.062;0.030;-0.036;2.4;4.8;0.0;-1.7
NEUWIRTH Bence;2022-23;DEAC;18.2;3.1;5.7;8.1;-2.7;0.9;5.5;-0.025;0.052;0.026;0.015;-2.0;3.4;-1.6;0.1;-4.8;-2.6;-0.006;0.023;-0.033;0.079;-0.7;-4.1;0.0;-1.2
SZABADFI Márk;2024-25;Oroszlány;18.1;-11.7;-5.5;-7.7;-0.8;-4.0;-4.3;-0.027;0.003;-0.004;0.046;2.3;-5.5;2.6;3.0;1.5;3.4;-0.020;0.027;-0.018;0.079;2.2;6.1;-0.4;1.4
KISS Dávid;2022-23;Kecskemét;18.0;-6.6;-5.5;-8.2;-4.6;-0.5;6.3;0.033;-0.049;0.028;-0.041;0.9;-3.0;-2.5;-2.0;5.0;14.5;-0.009;0.031;0.044;-0.012;2.2;6.5;0.0;-1.3
PUSKA Bence;2023-24;Kaposvár;18.0;-8.3;-5.2;-7.4;-1.4;-8.5;-9.7;-0.004;0.029;-0.007;-0.019;-5.6;-1.7;2.0;-0.8;-3.3;-2.3;-0.056;0.047;-0.008;0.006;-1.1;2.6;0.0;-0.9
L.G. GILL;2023-24;Sopron;18.0;-15.7;-12.0;-15.3;4.1;-3.6;-10.5;-0.053;0.024;-0.041;-0.066;-1.4;1.6;1.5;-0.2;8.4;4.8;0.000;0.007;0.054;-0.034;-0.9;2.8;0.0;-0.2
Yasiin JOSEPH;2024-25;Atomerőmű SE;17.9;16.8;7.0;9.0;1.6;8.8;9.1;0.017;-0.026;0.041;-0.009;-3.3;6.3;-3.5;1.3;1.8;0.1;-0.064;0.051;0.029;-0.058;-0.2;-6.6;0.7;0.0
Kobe LANGLEY;2024-25;Szedeák;17.7;-8.4;0.3;0.5;0.8;2.2;1.8;-0.011;0.019;-0.004;-0.072;1.7;7.0;-2.0;1.3;1.9;1.4;-0.067;0.068;0.035;0.001;-4.9;-1.9;0.5;-1.0
LADOS Erik;2023-24;NKA Pécs;17.6;-5.4;-6.0;-8.3;-5.8;-1.7;6.4;0.002;0.018;0.052;0.030;-2.4;0.2;1.0;-1.1;4.3;14.7;-0.009;0.027;0.070;0.031;-1.1;-1.1;0.0;1.3
SZABADFI Márk;2022-23;Oroszlány;17.6;-6.9;-5.8;-8.0;0.6;-2.1;-3.9;0.036;-0.032;-0.019;-0.033;1.0;-2.5;0.2;-2.0;3.7;4.1;0.030;-0.031;0.040;-0.010;0.0;-2.6;0.0;2.6
David NICHOLS;2024-25;Alba Fehérvár;17.5;2.6;3.3;4.4;1.4;5.8;5.6;-0.058;0.071;0.072;-0.047;-4.6;5.5;1.5;2.0;2.5;1.2;0.005;-0.001;-0.002;-0.020;3.2;3.2;-0.6;-3.7
RADICS Gerzson;2023-24;Atomerőmű SE;17.4;-9.2;-7.5;-10.2;-0.6;-9.9;-12.4;-0.034;0.029;-0.075;0.002;-3.1;-0.3;-1.0;-1.7;-2.4;-2.2;-0.011;0.020;-0.043;0.042;3.0;11.0;0.0;-0.1
KENÉZ Csaba;2022-23;DEAC;17.3;5.4;8.5;12.1;-3.7;2.0;8.6;0.008;0.000;0.046;0.063;5.6;9.2;1.0;-0.4;-6.5;-3.5;-0.045;0.063;-0.034;0.037;-1.4;0.9;0.0;1.5
Marko RADOVANOVIĆ;2024-25;Szolnok;17.1;3.1;-1.2;-1.6;-0.6;5.5;8.2;0.005;0.015;0.016;0.017;-1.7;7.6;-3.4;2.6;6.7;9.8;-0.039;0.025;0.003;0.105;5.1;8.6;-3.3;1.5
DOROGI Gergő;2024-25;Atomerőmű SE;17.1;-5.3;-19.8;-27.0;-2.7;-11.6;-11.6;-0.029;0.027;-0.046;-0.001;-1.3;4.0;-0.2;-1.9;8.1;15.3;0.003;0.020;0.036;0.088;4.8;-0.4;-1.6;0.7
SÖVEGJÁRTÓ Ábel;2022-23;Falco KC;17.0;-5.5;-21.1;-29.3;-5.4;-17.9;-16.5;-0.043;0.042;-0.070;-0.018;-0.9;4.3;1.5;2.4;3.2;12.8;-0.019;0.022;0.039;0.107;1.4;-2.3;0.0;-0.2
Nahziah CARTER;2022-23;Szedeák;16.9;3.2;5.6;7.8;-0.8;3.9;6.6;0.105;-0.050;0.037;-0.011;-1.7;-1.7;-2.7;0.6;-1.7;-1.2;-0.048;0.049;0.020;0.024;-0.8;2.3;0.0;-0.7
SZALAY Domonkos;2024-25;ZTE;16.7;-11.6;-13.7;-18.8;-1.2;-9.0;-10.5;-0.065;0.048;-0.051;0.068;-5.9;-2.9;-0.5;1.0;4.7;8.3;-0.011;0.018;0.024;0.029;4.4;-0.3;0.6;0.4
CSUTI Kornél;2023-24;ZTE;16.6;-16.3;-14.0;-20.3;-4.7;-9.2;-5.7;-0.060;0.042;-0.011;0.015;-10.2;4.4;-0.5;0.5;4.8;14.6;0.048;-0.055;0.022;-0.040;2.1;-3.7;0.0;0.3
KOVÁCS Ákos;2022-23;DEAC;16.5;-12.3;-12.8;-18.1;1.0;-4.5;-7.9;0.039;-0.055;-0.042;-0.005;2.9;2.3;1.1;-1.7;8.3;10.2;-0.009;0.013;0.058;-0.054;-1.8;4.9;0.0;-0.1
EILINGSFELD János;2023-24;Atomerőmű SE;16.4;0.1;3.7;5.1;-2.8;1.7;6.7;0.058;-0.050;0.023;-0.040;5.8;2.3;-0.9;-2.6;-2.0;1.6;0.016;-0.010;0.039;-0.050;-2.9;-13.2;0.0;1.0
NEUWIRTH Bence;2024-25;DEAC;16.0;-4.8;-6.6;-9.2;0.2;-4.8;-7.1;-0.053;0.030;-0.025;-0.024;-0.3;-0.2;1.8;-0.1;1.8;2.1;-0.027;0.036;-0.030;0.090;3.2;-2.5;-2.8;-0.1
CSENDES Péter;2022-23;Sopron;15.5;-2.7;-6.4;-9.2;-3.5;-8.5;-6.6;-0.080;0.076;-0.035;0.003;4.5;4.4;2.0;-3.6;-2.1;2.6;0.037;-0.024;0.014;-0.016;-1.4;-0.7;0.0;0.6
KOVÁCS Ádám;2022-23;Szedeák;15.2;-9.0;-9.0;-12.3;1.7;-3.9;-7.9;-0.081;0.067;-0.003;-0.004;-3.1;0.4;3.8;-0.9;5.1;4.4;0.023;-0.030;0.009;0.057;-2.0;6.4;0.0;0.3
POLÁNYI Kristóf;2024-25;Szedeák;15.2;-17.1;-10.0;-12.9;3.5;0.5;-4.1;-0.088;0.109;-0.020;-0.002;-4.8;0.3;-0.3;0.1;10.5;8.8;-0.031;0.069;0.001;0.107;7.6;2.2;-0.8;-0.8
