Játékos;Szezon;Csapat;Min%;On40;Net40;Net RTG;Net Pace;Net Tm PTS 40;Net Tm RTG;Net Tm Close att. rate;Net Tm 3P att. rate;Net Tm EFG %;Net Tm FT made rate;Net Tm ORB %;Net Tm AST %;Net Tm TOV %;Net Tm BLK %;Net Opp PTS 40;Net Opp RTG;Net Opp Close att. rate;Net Opp 3P att. rate;Net Opp EFG %;Net Opp FT made rate;Net Opp ORB %;Net Opp AST %;Net Opp TOV %;Net Opp BLK %
TÓTH Ádám;2022-23;DEAC;45.8;0.2;3.3;4.6;4.6;4.3;-1.0;0.032;-0.004;-0.001;-0.036;1.6;1.3;0.3;-0.9;1.0;-5.6;0.005;0.022;-0.024;0.023;-2.5;-1.2;0.0;1.3
PALLAI Tamás;2023-24;Szolnok;45.8;4.6;9.5;12.7;0.4;4.8;5.8;-0.039;0.042;0.021;-0.043;-2.8;5.2;-2.2;-0.7;-4.7;-6.9;-0.001;0.005;-0.041;-0.002;3.8;0.3;0.0;1.2
Stefan POT;2023-24;Falco KC;45.7;22.4;3.4;4.7;-0.1;1.7;2.5;0.024;-0.007;-0.011;0.062;6.1;-2.3;0.0;-3.0;-1.7;-2.2;-0.007;0.000;-0.012;0.000;-2.2;2.8;0.0;0.0
Andre WESSON;2023-24;Bp. Honvéd;45.5;3.6;10.0;13.7;3.4;5.4;2.5;-0.058;0.032;0.017;-0.013;-1.1;-0.2;-0.2;1.6;-4.6;-11.2;-0.013;0.016;-0.039;-0.065;-2.2;-7.4;0.0;0.1
KRNJAJSZKI Borisz;2022-23;Kaposvár;45.2;-5.2;-2.3;-3.6;-4.1;-4.0;0.6;-0.013;0.005;-0.014;-0.014;3.1;2.3;-2.3;-0.5;-1.7;4.2;0.002;0.006;0.006;-0.021;2.4;-1.9;0.0;1.0
Rytis PIPIRAS;2022-23;NYBS;45.2;-12.6;1.2;1.6;0.6;6.1;7.1;0.039;-0.007;0.030;-0.020;3.9;0.4;-1.2;1.4;4.9;5.5;0.034;-0.009;0.050;-0.009;-4.3;5.5;0.0;-0.3
Juwan DURHAM;2022-23;Sopron;45.2;5.3;4.8;6.4;5.6;1.2;-7.2;0.020;-0.054;0.028;-0.045;-8.6;-1.9;3.2;4.4;-3.6;-13.6;0.008;-0.010;-0.030;-0.045;-1.5;-1.4;0.0;1.9
DURÁZI Krisztofer;2022-23;Körmend;45.1;0.8;5.2;7.1;0.5;6.1;7.5;0.033;-0.003;0.025;0.065;0.3;0.8;-1.5;-0.2;0.9;0.4;-0.009;0.009;-0.008;0.001;-2.0;7.0;0.0;1.9
Jimmy GAVIN;2022-23;Szolnok;45.1;7.9;-0.8;-1.4;0.6;5.0;6.0;-0.034;0.060;0.034;-0.040;-4.1;1.9;-1.4;-0.1;5.8;7.4;0.026;-0.051;0.024;0.055;2.7;8.0;0.0;-0.8
BRBAKLICS Aleksza;2024-25;NKA Pécs;44.7;-1.5;-4.0;-5.4;1.6;-0.2;-2.5;0.013;-0.014;-0.011;0.011;2.0;-3.0;-1.2;-0.5;3.8;2.9;0.049;-0.037;-0.010;0.062;2.4;-3.0;-0.1;-2.1
