Játékos;Szezon;Csapat;G;Min;Min PG;GmSc;GmSc PG;GmSc 100;adj. GmSc;adj. GmSc PG;adj. GmSc 100;VAL;PER;USG%;% Team Poss;PTS Prod;Floor %;ORtg;DRtg;Net Rtg;OWS;DWS;WS;WS40;MVP Index;Gy;V;Gy%
MAYER Ákos;2024-25;Szedeák;22;166;7.5;10;0.5;3.5;14;0.6;4.7;2.5;4.4;14.0;14.6;35;0.39;79;113;-33.6;-0.4;0.2;-0.2;-0.051;-9;6;16;27.3
Keenan GUMBS;2022-23;DEAC;8;165;20.6;38;4.7;12.7;51;6.4;17.3;10.5;11.3;26.7;26.3;70;0.40;90;106;-16.5;-0.4;0.3;-0.1;-0.015;32;2;6;25.0
Shane HENRY;2023-24;NKA Pécs;13;164;12.6;67;5.2;21.7;92;7.1;29.7;9.5;21.1;17.5;17.8;71;0.63;128;98;29.7;0.5;0.5;1.0;0.249;148;7;6;53.8
Nick BANYARD;2023-24;Sopron;7;161;23.0;33;4.7;11.1;45;6.4;15.1;11.3;10.1;21.9;21.7;56;0.45;87;109;-21.7;-0.4;0.3;-0.1;-0.028;23;3;4;42.9
FAZEKAS Máté;2023-24;Kaposvár;13;160;12.3;32;2.4;11.0;43;3.3;14.9;5.4;10.8;14.5;15.3;49;0.52;110;119;-9.5;0.1;0.1;0.2;0.040;46;4;9;30.8
RÁTGÉBER Tamás;2024-25;NKA Pécs;14;158;11.3;-2;-0.2;-0.8;-3;-0.2;-1.0;1.3;-0.1;13.4;12.6;26;0.31;72;117;-44.6;-0.4;0.1;-0.3;-0.085;-32;4;10;28.6
MOKÁNSZKI Máté;2022-23;NYBS;12;154;12.8;17;1.4;5.8;24;2.0;8.0;3.2;5.7;14.6;14.4;37;0.37;86;117;-30.7;-0.2;0.1;-0.2;-0.048;1;1;11;8.3
KÖRMENDI Bence;2023-24;Kecskemét;16;152;9.5;-2;-0.2;-0.9;-3;-0.2;-1.2;0.8;-0.4;9.1;8.8;14;0.23;58;118;-60.0;-0.4;0.1;-0.3;-0.090;-33;5;11;31.3
Myles CARTER;2023-24;Körmend;6;152;25.3;35;5.8;12.6;47;7.8;17.1;11.2;11.5;18.2;17.9;48;0.47;98;102;-4.2;-0.1;0.4;0.3;0.081;62;3;3;50.0
Dayon GRIFFIN;2022-23;Szolnok;6;151;25.2;36;5.9;13.5;49;8.1;18.4;10.0;11.2;21.5;20.8;54;0.42;99;105;-5.7;-0.1;0.3;0.3;0.067;58;4;2;66.7
MEZŐFI Márk;2024-25;NKA Pécs;16;150;9.4;35;2.2;12.8;47;2.9;17.3;3.9;12.9;12.4;11.4;42;0.55;135;117;18.7;0.4;0.1;0.5;0.127;77;5;11;31.3
