Játékos;Szezon;Csapat;G;Min;Min PG;GmSc;GmSc PG;GmSc 100;adj. GmSc;adj. GmSc PG;adj. GmSc 100;VAL;PER;USG%;% Team Poss;PTS Prod;Floor %;ORtg;DRtg;Net Rtg;OWS;DWS;WS;WS40;MVP Index;Gy;V;Gy%
CZERMANN Máté;2023-24;Oroszlány;3;5;1.7;0;-0.1;-4.1;-1;-0.2;-5.2;0.0;-4.5;9.4;8.1;0;0.00;0;115;-114.8;0.0;0.0;0.0;-0.192;-2;1;2;33.3
MOKÁNSZKI Milán;2023-24;Szedeák;4;5;1.3;0;0.1;3.0;0;0.1;4.0;0.3;-0.5;25.1;24.0;2;0.30;76;118;-41.4;0.0;0.0;0.0;-0.160;-1;3;1;75.0
POLÁNYI Kristóf;2023-24;Szedeák;1;5;5.0;-1;-1.2;-12.2;-2;-1.6;-16.3;0.0;-6.5;0.0;0.0;0;0.00;0;124;-124.4;0.0;0.0;0.0;-0.013;-1;0;1;0.0
PÁRKÁNYI Máté;2024-25;Alba Fehérvár;3;5;1.6;0;0.1;3.2;0;0.1;4.2;0.3;3.0;0.0;0.0;0;0.00;0;117;-117.4;0.0;0.0;0.0;0.020;0;2;1;66.7
KARDA Dominik;2024-25;Bp. Honvéd;2;5;2.4;0;-0.2;-3.5;0;-0.2;-4.7;0.0;-4.9;10.1;14.3;0;0.18;41;116;-75.2;0.0;0.0;0.0;-0.222;-3;1;1;50.0
CZERMANN Máté;2024-25;Oroszlány;3;5;1.6;1;0.2;8.2;1;0.3;10.5;0.3;8.8;0.0;0.0;0;0.00;0;117;-117.2;0.0;0.0;0.0;0.021;1;1;2;33.3
HŐGYE Patrik;2022-23;DEAC;2;4;2.0;0;0.2;4.1;0;0.2;5.5;0.5;7.1;0.0;0.0;0;0.00;0;93;-92.9;0.0;0.0;0.0;0.150;2;1;1;50.0
CSORNAI Csaba;2022-23;Szedeák;3;4;1.3;-1;-0.4;-15.8;-2;-0.5;-21.6;-0.3;-13.8;12.5;9.4;0;0.00;0;118;-117.9;0.0;0.0;0.0;-0.260;-3;2;1;66.7
TÓTH Barnabás;2023-24;ZTE;1;4;4.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;11.9;15.8;1;0.28;63;144;-80.9;0.0;0.0;0.0;-0.299;-3;0;1;0.0
NÉMETH Bálint;2024-25;Falco KC;3;4;1.4;1;0.2;8.2;1;0.3;10.9;0.3;7.3;22.9;18.0;1;0.53;105;109;-3.9;0.0;0.0;0.0;0.077;1;3;0;100.0
GERÖLY Márton;2024-25;Körmend;2;4;1.8;-1;-0.7;-20.4;-2;-1.0;-27.7;-1.0;-22.0;25.4;20.2;0;0.00;0;132;-132.4;-0.1;0.0;-0.1;-0.645;-7;1;1;50.0
SZITA Márton;2024-25;NKA Pécs;2;4;2.2;-1;-0.4;-8.7;-1;-0.5;-11.2;-0.5;-9.4;10.9;9.1;0;0.00;0;134;-133.7;0.0;0.0;0.0;-0.333;-4;0;2;0.0
RÉDEI Péter;2022-23;Bp. Honvéd;2;3;1.5;-2;-0.9;-32.4;-2;-1.2;-43.9;-1.0;-33.8;34.3;33.8;0;0.00;0;141;-141.1;-0.1;0.0;-0.1;-1.093;-9;0;2;0.0
TÓTH Patrik;2022-23;Kecskemét;2;3;1.5;0;-0.2;-7.5;-1;-0.3;-9.4;0.0;-4.2;0.0;0.0;0;0.00;0;129;-129.4;0.0;0.0;0.0;-0.056;-1;1;1;50.0
YAKE Matthew;2023-24;Kaposvár;1;3;3.0;-1;-0.7;-12.0;-1;-1.0;-17.1;-1.0;-12.5;15.5;14.3;0;0.00;0;131;-131.3;0.0;0.0;0.0;-0.461;-3;0;1;0.0
GERENCSÉR Botond;2023-24;ZTE;1;3;3.0;0;0.3;5.2;0;0.4;6.9;0.0;5.1;15.8;15.2;0;0.00;0;103;-103.5;0.0;0.0;0.0;-0.334;-2;0;1;0.0
OSZTOICS Milán;2024-25;Alba Fehérvár;2;3;1.3;0;0.2;6.3;0;0.2;8.4;0.5;6.1;0.0;0.0;0;0.00;0;118;-117.5;0.0;0.0;0.0;0.019;0;1;1;50.0
SIMON Dávid;2024-25;Alba Fehérvár;2;3;1.5;3;1.4;49.0;4;1.8;65.3;1.5;46.7;16.1;8.9;1;1.00;200;86;114.0;0.0;0.0;0.0;0.436;6;2;0;100.0
SZILÁGYI Péter;2024-25;DEAC;1;3;3.1;-1;-0.8;-12.4;-1;-1.1;-17.1;0.0;-10.7;13.5;11.0;0;0.00;0;104;-104.0;0.0;0.0;0.0;-0.222;-2;1;0;100.0
HANSEN Dániel;2024-25;Falco KC;1;3;2.7;0;-0.4;-7.7;-1;-0.5;-9.6;0.0;-6.7;16.0;17.4;1;0.29;63;92;-28.3;0.0;0.0;0.0;-0.029;-1;1;0;100.0
KOVÁCS Áron;2024-25;Sopron;2;3;1.3;0;-0.2;-8.0;-1;-0.3;-9.9;0.0;-9.3;33.7;26.4;0;0.00;0;88;-88.3;0.0;0.0;0.0;-0.576;-3;2;0;100.0
MÉSZÁROS Ágoston;2024-25;ZTE;1;3;3.4;0;0.3;4.4;0;0.4;5.9;1.0;-1.1;38.4;35.8;2;0.31;77;105;-28.3;0.0;0.0;0.0;-0.173;-1;1;0;100.0
COHILL Eric;2022-23;Bp. Honvéd;1;2;2.0;1;1.3;37.3;2;1.8;51.6;2.0;33.7;48.5;32.8;1;0.38;76;97;-20.8;0.0;0.0;0.0;-0.111;1;0;1;0.0
FEHÉRVÁRI Csegő;2022-23;Kaposvár;1;2;2.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.00;0;107;-107.2;0.0;0.0;0.0;0.069;0;1;0;100.0
YAKE Matthew;2022-23;Kaposvár;1;2;2.0;-2;-1.7;-45.7;-2;-2.3;-61.8;-2.0;-47.7;47.8;46.4;0;0.00;0;107;-107.2;-0.1;0.0;-0.1;-1.264;-7;1;0;100.0
VELKEY Géza;2022-23;Kecskemét;1;2;2.0;-1;-1.4;-39.4;-2;-1.9;-53.5;-2.0;-41.7;45.0;34.9;0;0.00;0;142;-142.4;-0.1;0.0;-0.1;-1.134;-5;0;1;0.0
NAGY Péter;2022-23;Körmend;1;2;2.0;-1;-1.1;-30.3;-2;-1.5;-41.3;-1.0;-26.5;24.6;21.3;0;0.00;0;97;-96.8;0.0;0.0;0.0;-0.484;-3;1;0;100.0
MAJOR Bulcsú;2023-24;Bp. Honvéd;2;2;1.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.00;0;113;-112.7;0.0;0.0;0.0;0.052;0;1;1;50.0
HIBJÁN Máté;2023-24;DEAC;1;2;2.0;-1;-0.7;-20.5;-1;-1.0;-29.3;-1.0;-21.5;26.1;23.2;0;0.00;0;137;-136.9;0.0;0.0;0.0;-0.751;-3;0;1;0.0
KELLER Bendegúz;2023-24;Sopron;1;2;2.0;-1;-0.7;-20.7;-1;-1.0;-29.5;-1.0;-21.6;25.5;19.3;0;0.00;0;99;-99.4;0.0;0.0;0.0;-0.429;-3;1;0;100.0
BELLA Ádám;2023-24;Szedeák;1;2;2.0;1;1.0;24.1;1;1.4;33.7;1.0;24.9;0.0;0.0;0;0.00;0;57;-56.9;0.0;0.0;0.0;0.361;2;1;0;100.0
CSORNAI Csaba;2023-24;Szedeák;1;2;2.0;0;0.3;7.7;0;0.4;10.2;1.0;7.6;0.0;0.0;0;0.00;0;112;-111.6;0.0;0.0;0.0;0.058;1;1;0;100.0
SZEMERÉDI Levente;2024-25;Kecskemét;1;2;1.9;-1;-1.4;-40.0;-2;-1.9;-54.3;-1.0;-36.2;26.1;28.6;0;0.00;0;142;-141.9;0.0;0.0;0.0;-0.940;-5;0;1;0.0
MUCHA Bertalan;2024-25;NKA Pécs;1;2;2.4;-2;-1.7;-36.6;-2;-2.3;-49.5;-2.0;-38.6;38.1;35.9;0;0.00;0;103;-102.9;-0.1;0.0;-0.1;-0.930;-7;1;0;100.0
OSZTOICS Milán;2022-23;Alba Fehérvár;1;1;1.0;2;1.7;97.7;2;2.3;132.2;2.0;80.3;50.9;214.6;7;1.00;200;99;100.6;0.1;0.0;0.2;6.079;15;1;0;100.0
KUPAI László;2022-23;Atomerőmű SE;1;1;1.0;2;2.0;113.6;3;2.7;153.4;3.0;94.9;45.2;41.9;2;1.00;250;113;136.8;0.0;0.0;0.0;1.796;5;1;0;100.0
GADÁCSI Dávid;2022-23;Sopron;1;1;1.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.00;0;130;-130.1;0.0;0.0;0.0;-0.060;0;1;0;100.0
MAKKOS Dávid;2022-23;ZTE;1;1;1.0;-1;-1.0;-58.1;-1;-1.4;-81.4;-1.0;-60.1;49.1;58.1;0;0.00;0;118;-117.9;0.0;0.0;0.0;-1.661;-5;1;0;100.0
OSZTOICS Milán;2023-24;Alba Fehérvár;1;1;1.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.00;0;105;-104.6;0.0;0.0;0.0;0.097;0;1;0;100.0
NÉMETH Bálint;2023-24;Falco KC;1;1;1.0;0;-0.4;-20.5;-1;-0.5;-25.6;0.0;-10.9;0.0;0.0;0;0.00;0;106;-105.9;0.0;0.0;0.0;0.089;0;1;0;100.0
KRISTYÁK Viktor;2023-24;Oroszlány;1;1;1.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.00;0;128;-127.5;0.0;0.0;0.0;-0.030;0;0;1;0.0
BŐSZE Gergő;2023-24;Sopron;1;1;1.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.00;0;118;-117.6;0.0;0.0;0.0;0.025;0;0;1;0.0
KRISTYÁK Viktor;2024-25;Oroszlány;1;1;0.7;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.00;0;96;-95.7;0.0;0.0;0.0;0.141;0;1;0;100.0
KÖRTVÉLYESSY András;2024-25;Szedeák;1;1;1.1;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.00;0;127;-126.8;0.0;0.0;0.0;-0.033;0;0;1;0.0
PAPP Botond;2024-25;Szedeák;1;1;1.2;3;2.7;139.9;4;3.6;186.5;3.0;117.6;45.6;74.8;4;1.00;300;119;181.0;0.1;0.0;0.1;4.116;14;0;1;0.0
