Játékos;Szezon;Csapat;G;Min;PTS;FG made;FG att.;FG%;3P made;3P att.;3P%;EFG%;FT made;FT att.;FT%;TS%;ORB;DRB;TRB;AST;TOV;STL;BLK;PF;GmSc;USG%;PTS Prod;ORTG;DRTG
Anthony DURHAM;2023-24;Szolnok;11;179;77;27;69;0.391;12;37;0.324;0.478;11;14;0.786;0.441;8;20;28;18;12;7;3;24;50;22.5;72;100;114
KOVÁCS Ákos;2024-25;DEAC;8;176;81;34;60;0.567;0;6;0.000;0.567;13;23;0.565;0.510;10;25;35;4;9;9;7;21;62;20.6;70;109;103
Trey DIGGS;2024-25;Falco KC;10;176;97;34;71;0.479;26;56;0.464;0.662;3;4;0.750;0.657;6;15;21;8;1;6;0;18;73;19.7;73;139;116
Danilo OSTOJIĆ;2023-24;ZTE;8;175;84;31;58;0.534;2;7;0.286;0.552;20;25;0.800;0.530;20;35;55;12;10;5;2;11;79;22.2;85;121;114
KRIVACSEVICS Markó;2024-25;Alba Fehérvár;9;172;60;27;37;0.730;0;0;;0.730;6;15;0.400;0.591;28;26;54;7;7;6;5;26;66;13.6;67;136;127
PONGÓ Máté;2024-25;DEAC;8;172;72;27;50;0.540;14;27;0.519;0.680;4;4;1.000;0.516;7;24;31;37;18;9;0;13;72;18.5;80;120;107
KOVÁCS Péter;2023-24;NKA Pécs;8;170;55;22;57;0.386;9;29;0.310;0.465;2;3;0.667;0.380;2;10;12;11;14;7;0;21;20;19.7;49;83;108
Lovro BULJEVIĆ;2023-24;DEAC;9;170;40;11;32;0.344;1;5;0.200;0.359;17;26;0.654;0.402;14;37;51;4;6;2;7;25;33;14.5;45;101;110
TAKÁCS Kristóf;2024-25;Sopron;9;169;73;26;59;0.441;3;12;0.250;0.466;18;28;0.643;0.447;15;26;41;19;10;6;1;21;58;22.0;80;111;115
Aleksa NOVAKOVIĆ;2024-25;Falco KC;10;168;65;25;50;0.500;10;25;0.400;0.600;5;6;0.833;0.527;6;17;23;8;9;3;1;21;41;17.2;54;112;114
TAKÁCS Norbert;2022-23;Sopron;8;168;55;19;37;0.514;17;34;0.500;0.743;0;0;;0.671;3;6;9;10;4;3;1;9;44;11.9;45;136;130
Jaka KLOBUČAR;2022-23;Kecskemét;6;167;58;20;54;0.370;7;34;0.206;0.435;11;13;0.846;0.409;4;23;27;26;11;11;0;11;51;20.9;66;102;113
SZALAY Domonkos;2023-24;ZTE;11;166;44;14;28;0.500;5;13;0.385;0.589;11;17;0.647;0.493;6;12;18;8;9;5;0;24;27;12.9;40;105;129
NÉMETH Ákos;2024-25;Alba Fehérvár;9;165;28;11;24;0.458;2;5;0.400;0.500;4;6;0.667;0.471;6;14;20;12;3;4;1;20;25;8.3;32;118;133
NEUWIRTH Bence;2023-24;DEAC;9;165;46;16;35;0.457;14;28;0.500;0.657;0;0;;0.561;1;10;11;3;6;8;0;26;25;12.3;37;111;114
SCHERER Bálint;2023-24;NKA Pécs;8;165;52;19;39;0.487;12;28;0.429;0.641;2;4;0.500;0.607;4;14;18;6;2;3;1;21;36;12.0;39;123;109
