Játékos;Szezon;Csapat;G;Min;Min PG;PTS;PTS PG;PTS 100;Close made;Close att.;Close made PG;Close att. PG;Close made 100;Close att. 100;Close %;Mid. made;Mid. att.;Mid. made PG;Mid. att. PG;Mid. made 100;Mid. att. 100;Mid. %;2P made;2P att.;2P made PG;2P att. PG;2P made 100;2P att. 100;2P%;3P made;3P att.;3P made PG;3P att. PG;3P made 100;3P att. 100;3P%;FG made;FG att.;FG made PG;FG att. PG;FG made 100;FG att. 100;FG%;EFG%;FT made;FT att.;FT made PG;FT att. PG;FT made 100;FT att. 100;FT%;TS%;Close att. rate;Mid. att. rate;3P att. rate;FT rate
NÉMETH Ákos;2023-24;ZTE;36;588;16.3;167;4.6;15.4;46;77;1.3;2.1;4.3;7.1;0.597;2;9;0.1;0.3;0.2;0.8;0.222;48;86;1.3;2.4;4.4;8.0;0.558;13;63;0.4;1.8;1.2;5.8;0.206;61;149;1.7;4.1;5.7;13.8;0.409;0.453;32;40;0.9;1.1;3.0;3.7;0.800;0.500;51.7;6.0;42.3;0.27
KRIVACSEVICS Markó;2024-25;Alba Fehérvár;35;588;16.8;200;5.7;18.3;82;133;2.3;3.8;7.5;12.1;0.617;0;3;0.0;0.1;0.0;0.3;0.000;82;136;2.3;3.9;7.5;12.4;0.603;0;3;0.0;0.1;0.0;0.3;0.000;82;139;2.3;4.0;7.5;12.7;0.590;0.590;36;70;1.0;2.0;3.3;6.4;0.514;0.587;95.7;2.2;2.2;0.50
TANOH DEZ András;2023-24;Falco KC;36;583;16.2;209;5.8;19.2;59;87;1.6;2.4;5.4;8.0;0.678;3;10;0.1;0.3;0.3;0.9;0.300;62;97;1.7;2.7;5.7;8.9;0.639;17;55;0.5;1.5;1.6;5.1;0.309;79;152;2.2;4.2;7.3;14.0;0.520;0.576;34;56;0.9;1.6;3.1;5.2;0.607;0.590;57.2;6.6;36.2;0.37
Tulio DA SILVA;2023-24;Sopron;21;583;27.8;232;11.0;21.9;64;92;3.0;4.4;6.0;8.7;0.696;8;18;0.4;0.9;0.8;1.7;0.444;72;110;3.4;5.2;6.8;10.4;0.655;14;45;0.7;2.1;1.3;4.3;0.311;86;155;4.1;7.4;8.1;14.6;0.555;0.600;46;64;2.2;3.0;4.3;6.0;0.719;0.631;59.4;11.6;29.0;0.41
SOMOGYI Ádám;2024-25;Szolnok;20;580;29.0;257;12.9;23.8;58;102;2.9;5.1;5.4;9.4;0.569;4;15;0.2;0.8;0.4;1.4;0.267;62;117;3.1;5.9;5.7;10.8;0.530;26;81;1.3;4.1;2.4;7.5;0.321;88;198;4.4;9.9;8.2;18.3;0.444;0.510;55;65;2.8;3.3;5.1;6.0;0.846;0.565;51.5;7.6;40.9;0.33
Trey DIGGS;2024-25;Falco KC;32;578;18.1;304;9.5;28.9;19;38;0.6;1.2;1.8;3.6;0.500;9;17;0.3;0.5;0.9;1.6;0.529;28;55;0.9;1.7;2.7;5.2;0.509;78;165;2.4;5.2;7.4;15.7;0.473;106;220;3.3;6.9;10.1;20.9;0.482;0.659;14;16;0.4;0.5;1.3;1.5;0.875;0.669;17.3;7.7;75.0;0.07
CSENDES Péter;2023-24;Sopron;33;576;17.5;120;3.6;11.3;10;18;0.3;0.5;0.9;1.7;0.556;3;13;0.1;0.4;0.3;1.2;0.231;13;31;0.4;0.9;1.2;2.9;0.419;28;86;0.8;2.6;2.6;8.1;0.326;41;117;1.2;3.5;3.9;11.0;0.350;0.470;10;12;0.3;0.4;0.9;1.1;0.833;0.490;15.4;11.1;73.5;0.10
SCHERER Bálint;2023-24;NKA Pécs;34;568;16.7;149;4.4;13.9;24;53;0.7;1.6;2.2;4.9;0.453;3;7;0.1;0.2;0.3;0.7;0.429;27;60;0.8;1.8;2.5;5.6;0.450;28;84;0.8;2.5;2.6;7.8;0.333;55;144;1.6;4.2;5.1;13.4;0.382;0.479;11;18;0.3;0.5;1.0;1.7;0.611;0.490;36.8;4.9;58.3;0.13
DURÁZI Krisztofer;2023-24;Körmend;24;567;23.6;259;10.8;24.6;92;137;3.8;5.7;8.7;13.0;0.672;3;9;0.1;0.4;0.3;0.9;0.333;95;146;4.0;6.1;9.0;13.9;0.651;4;33;0.2;1.4;0.4;3.1;0.121;99;179;4.1;7.5;9.4;17.0;0.553;0.564;57;108;2.4;4.5;5.4;10.3;0.528;0.569;76.5;5.0;18.4;0.60
KISS Benedek;2022-23;NYBS;34;562;16.5;86;2.5;8.1;16;32;0.5;0.9;1.5;3.0;0.500;2;7;0.1;0.2;0.2;0.7;0.286;18;39;0.5;1.1;1.7;3.7;0.462;16;77;0.5;2.3;1.5;7.3;0.208;34;116;1.0;3.4;3.2;11.0;0.293;0.362;2;4;0.1;0.1;0.2;0.4;0.500;0.365;27.6;6.0;66.4;0.03
MESZLÉNYI Róbert;2023-24;Sopron;33;560;17.0;75;2.3;7.3;13;24;0.4;0.7;1.3;2.3;0.542;0;6;0.0;0.2;0.0;0.6;0.000;13;30;0.4;0.9;1.3;2.9;0.433;13;56;0.4;1.7;1.3;5.4;0.232;26;86;0.8;2.6;2.5;8.3;0.302;0.378;10;18;0.3;0.5;1.0;1.8;0.556;0.399;27.9;7.0;65.1;0.21
Kahlil DUKES;2024-25;Atomerőmű SE;21;558;26.6;223;10.6;21.7;34;57;1.6;2.7;3.3;5.5;0.596;26;61;1.2;2.9;2.5;5.9;0.426;60;118;2.9;5.6;5.8;11.5;0.508;27;70;1.3;3.3;2.6;6.8;0.386;87;188;4.1;9.0;8.5;18.3;0.463;0.535;22;27;1.0;1.3;2.1;2.6;0.815;0.557;30.3;32.4;37.2;0.14
HAJDU Péter;2024-25;Bp. Honvéd;35;556;15.9;111;3.2;11.0;11;19;0.3;0.5;1.1;1.9;0.579;3;5;0.1;0.1;0.3;0.5;0.600;14;24;0.4;0.7;1.4;2.4;0.583;25;90;0.7;2.6;2.5;8.9;0.278;39;114;1.1;3.3;3.9;11.3;0.342;0.452;8;16;0.2;0.5;0.8;1.6;0.500;0.458;16.7;4.4;78.9;0.14
Maliek WHITE;2023-24;Atomerőmű SE;18;552;30.7;264;14.7;26.1;58;113;3.2;6.3;5.7;11.2;0.513;6;26;0.3;1.4;0.6;2.6;0.231;64;139;3.6;7.7;6.3;13.7;0.460;24;92;1.3;5.1;2.4;9.1;0.261;88;231;4.9;12.8;8.7;22.8;0.381;0.433;64;87;3.6;4.8;6.3;8.6;0.736;0.489;48.9;11.3;39.8;0.38
ILLÉS Máté;2024-25;Oroszlány;34;550;16.2;127;3.7;12.6;7;28;0.2;0.8;0.7;2.8;0.250;1;6;0.0;0.2;0.1;0.6;0.167;8;34;0.2;1.0;0.8;3.4;0.235;35;119;1.0;3.5;3.5;11.8;0.294;43;153;1.3;4.5;4.3;15.2;0.281;0.395;6;11;0.2;0.3;0.6;1.1;0.545;0.402;18.3;3.9;77.8;0.07
SCHÖLL Richárd;2024-25;Kecskemét;36;545;15.2;113;3.1;11.8;47;66;1.3;1.8;4.9;6.9;0.712;3;7;0.1;0.2;0.3;0.7;0.429;50;73;1.4;2.0;5.2;7.6;0.685;0;1;0.0;0.0;0.0;0.1;0.000;50;74;1.4;2.1;5.2;7.7;0.676;0.676;13;43;0.4;1.2;1.4;4.5;0.302;0.605;89.2;9.5;1.4;0.58
Isaiah CRAWLEY;2022-23;Bp. Honvéd;19;544;28.6;245;12.9;24.0;72;109;3.8;5.7;7.1;10.7;0.661;3;8;0.2;0.4;0.3;0.8;0.375;75;117;3.9;6.2;7.4;11.5;0.641;20;64;1.1;3.4;2.0;6.3;0.313;95;181;5.0;9.5;9.3;17.7;0.525;0.580;35;66;1.8;3.5;3.4;6.5;0.530;0.581;60.2;4.4;35.4;0.37
Boris BARAĆ;2023-24;Falco KC;33;544;16.5;221;6.7;21.8;75;115;2.3;3.5;7.4;11.3;0.652;8;22;0.2;0.7;0.8;2.2;0.364;83;137;2.5;4.2;8.2;13.5;0.606;2;15;0.1;0.5;0.2;1.5;0.133;85;152;2.6;4.6;8.4;15.0;0.559;0.566;49;71;1.5;2.2;4.8;7.0;0.690;0.601;75.7;14.5;9.9;0.47
MESZLÉNYI Róbert;2024-25;Sopron;32;544;17.0;103;3.2;10.3;17;25;0.5;0.8;1.7;2.5;0.680;2;3;0.1;0.1;0.2;0.3;0.667;19;28;0.6;0.9;1.9;2.8;0.679;19;65;0.6;2.0;1.9;6.5;0.292;38;93;1.2;2.9;3.8;9.2;0.409;0.511;8;14;0.3;0.4;0.8;1.4;0.571;0.519;26.9;3.2;69.9;0.15
KOVÁCS Ákos;2022-23;Atomerőmű SE;19;536;28.2;220;11.6;22.4;50;99;2.6;5.2;5.1;10.1;0.505;11;29;0.6;1.5;1.1;3.0;0.379;61;128;3.2;6.7;6.2;13.0;0.477;20;61;1.1;3.2;2.0;6.2;0.328;81;189;4.3;9.9;8.3;19.2;0.429;0.481;38;46;2.0;2.4;3.9;4.7;0.826;0.525;52.4;15.3;32.3;0.24
POLSTER Attila;2022-23;ZTE;37;533;14.4;126;3.4;12.8;12;24;0.3;0.6;1.2;2.5;0.500;4;8;0.1;0.2;0.4;0.8;0.500;16;32;0.4;0.9;1.6;3.3;0.500;31;77;0.8;2.1;3.2;7.9;0.403;47;109;1.3;2.9;4.8;11.1;0.431;0.573;1;2;0.0;0.1;0.1;0.2;0.500;0.573;22.0;7.3;70.6;0.02
KERPEL-FRONIUS Balázs;2022-23;Szedeák;31;525;16.9;87;2.8;9.1;21;28;0.7;0.9;2.2;2.9;0.750;0;1;0.0;0.0;0.0;0.1;0.000;21;29;0.7;0.9;2.2;3.0;0.724;12;51;0.4;1.6;1.3;5.4;0.235;33;80;1.1;2.6;3.5;8.4;0.413;0.488;9;14;0.3;0.5;0.9;1.5;0.643;0.504;35.0;1.3;63.8;0.18
RÉVÉSZ Ádám;2022-23;Szolnok;35;523;14.9;243;6.9;26.2;92;122;2.6;3.5;9.9;13.2;0.754;2;11;0.1;0.3;0.2;1.2;0.182;94;133;2.7;3.8;10.1;14.3;0.707;8;34;0.2;1.0;0.9;3.7;0.235;102;167;2.9;4.8;11.0;18.0;0.611;0.635;31;47;0.9;1.3;3.3;5.1;0.660;0.646;73.1;6.6;20.4;0.28
Aaron JONES;2024-25;ZTE;21;523;24.9;159;7.6;16.9;44;81;2.1;3.9;4.7;8.6;0.543;5;10;0.2;0.5;0.5;1.1;0.500;49;91;2.3;4.3;5.2;9.7;0.538;16;51;0.8;2.4;1.7;5.4;0.314;65;142;3.1;6.8;6.9;15.1;0.458;0.514;13;25;0.6;1.2;1.4;2.7;0.520;0.519;57.0;7.0;35.9;0.18
TAKÁCS Zsolt;2024-25;Oroszlány;35;517;14.8;177;5.1;18.7;32;58;0.9;1.7;3.4;6.1;0.552;0;9;0.0;0.3;0.0;1.0;0.000;32;67;0.9;1.9;3.4;7.1;0.478;29;86;0.8;2.5;3.1;9.1;0.337;61;153;1.7;4.4;6.4;16.2;0.399;0.493;26;34;0.7;1.0;2.7;3.6;0.765;0.526;37.9;5.9;56.2;0.22
Anthony ROBERTS;2023-24;Alba Fehérvár;23;515;22.4;326;14.2;33.1;72;122;3.1;5.3;7.3;12.4;0.590;7;26;0.3;1.1;0.7;2.6;0.269;79;148;3.4;6.4;8.0;15.0;0.534;37;89;1.6;3.9;3.8;9.0;0.416;116;237;5.0;10.3;11.8;24.1;0.489;0.568;57;68;2.5;3.0;5.8;6.9;0.838;0.609;51.5;11.0;37.6;0.29
Marko LUKOVIĆ;2023-24;Kecskemét;21;513;24.4;312;14.9;34.0;64;110;3.0;5.2;7.0;12.0;0.582;17;38;0.8;1.8;1.9;4.1;0.447;81;148;3.9;7.0;8.8;16.1;0.547;25;79;1.2;3.8;2.7;8.6;0.316;106;227;5.0;10.8;11.6;24.7;0.467;0.522;75;102;3.6;4.9;8.2;11.1;0.735;0.572;48.5;16.7;34.8;0.45
KOPÁCSI Ákos;2024-25;Bp. Honvéd;34;513;15.1;115;3.4;12.3;9;19;0.3;0.6;1.0;2.0;0.474;1;3;0.0;0.1;0.1;0.3;0.333;10;22;0.3;0.6;1.1;2.4;0.455;27;64;0.8;1.9;2.9;6.9;0.422;37;86;1.1;2.5;4.0;9.2;0.430;0.587;14;23;0.4;0.7;1.5;2.5;0.609;0.597;22.1;3.5;74.4;0.27
Jordan WILLIAMS;2022-23;NYBS;19;511;26.9;172;9.1;17.8;70;132;3.7;6.9;7.2;13.7;0.530;4;12;0.2;0.6;0.4;1.2;0.333;74;144;3.9;7.6;7.7;14.9;0.514;1;4;0.1;0.2;0.1;0.4;0.250;75;148;3.9;7.8;7.8;15.3;0.507;0.510;21;38;1.1;2.0;2.2;3.9;0.553;0.521;89.2;8.1;2.7;0.26
Miloš GLIŠIĆ;2024-25;Szedeák;14;509;36.4;220;15.7;24.7;62;83;4.4;5.9;7.0;9.3;0.747;8;15;0.6;1.1;0.9;1.7;0.533;70;98;5.0;7.0;7.9;11.0;0.714;16;53;1.1;3.8;1.8;6.0;0.302;86;151;6.1;10.8;9.7;17.0;0.570;0.623;32;47;2.3;3.4;3.6;5.3;0.681;0.639;55.0;9.9;35.1;0.31
De'Sean PARSONS;2022-23;Kaposvár;16;508;31.8;214;13.4;22.9;78;130;4.9;8.1;8.3;13.9;0.600;4;18;0.3;1.1;0.4;1.9;0.222;82;148;5.1;9.3;8.8;15.8;0.554;3;19;0.2;1.2;0.3;2.0;0.158;85;167;5.3;10.4;9.1;17.8;0.509;0.518;41;71;2.6;4.4;4.4;7.6;0.577;0.538;77.8;10.8;11.4;0.43
HALMAI Dániel;2023-24;Kaposvár;35;502;14.3;176;5.0;19.6;31;55;0.9;1.6;3.5;6.1;0.564;2;7;0.1;0.2;0.2;0.8;0.286;33;62;0.9;1.8;3.7;6.9;0.532;23;59;0.7;1.7;2.6;6.6;0.390;56;121;1.6;3.5;6.2;13.5;0.463;0.558;41;64;1.2;1.8;4.6;7.1;0.641;0.587;45.5;5.8;48.8;0.53
HALMAI Dániel;2024-25;Atomerőmű SE;37;502;13.6;111;3.0;12.0;23;42;0.6;1.1;2.5;4.5;0.548;3;4;0.1;0.1;0.3;0.4;0.750;26;46;0.7;1.2;2.8;5.0;0.565;8;36;0.2;1.0;0.9;3.9;0.222;34;82;0.9;2.2;3.7;8.9;0.415;0.463;35;48;0.9;1.3;3.8;5.2;0.729;0.536;51.2;4.9;43.9;0.59
PAÁR Márk;2023-24;Kaposvár;28;500;17.9;163;5.8;18.2;29;48;1.0;1.7;3.2;5.4;0.604;1;5;0.0;0.2;0.1;0.6;0.200;30;53;1.1;1.9;3.4;5.9;0.566;27;66;1.0;2.4;3.0;7.4;0.409;57;119;2.0;4.3;6.4;13.3;0.479;0.592;22;33;0.8;1.2;2.5;3.7;0.667;0.609;40.3;4.2;55.5;0.28
RÉVÉSZ Ádám;2024-25;Atomerőmű SE;30;496;16.5;141;4.7;15.5;49;72;1.6;2.4;5.4;7.9;0.681;5;8;0.2;0.3;0.6;0.9;0.625;54;80;1.8;2.7;5.9;8.8;0.675;7;22;0.2;0.7;0.8;2.4;0.318;61;102;2.0;3.4;6.7;11.2;0.598;0.632;12;15;0.4;0.5;1.3;1.6;0.800;0.648;70.6;7.8;21.6;0.15
Keith WRIGHT;2023-24;Atomerőmű SE;19;495;26.1;190;10.0;20.9;61;111;3.2;5.8;6.7;12.2;0.550;8;20;0.4;1.1;0.9;2.2;0.400;69;131;3.6;6.9;7.6;14.4;0.527;7;35;0.4;1.8;0.8;3.8;0.200;76;166;4.0;8.7;8.3;18.2;0.458;0.479;31;46;1.6;2.4;3.4;5.1;0.674;0.509;66.9;12.0;21.1;0.28
Tadija TADIĆ;2023-24;DEAC;24;492;20.5;199;8.3;23.1;28;68;1.2;2.8;3.2;7.9;0.412;5;11;0.2;0.5;0.6;1.3;0.455;33;79;1.4;3.3;3.8;9.2;0.418;30;76;1.3;3.2;3.5;8.8;0.395;63;155;2.6;6.5;7.3;18.0;0.406;0.503;43;52;1.8;2.2;5.0;6.0;0.827;0.558;43.9;7.1;49.0;0.34
Justin EDWARDS;2022-23;Körmend;23;490;21.3;170;7.4;18.8;46;81;2.0;3.5;5.1;9.0;0.568;3;11;0.1;0.5;0.3;1.2;0.273;49;92;2.1;4.0;5.4;10.2;0.533;13;63;0.6;2.7;1.4;7.0;0.206;62;155;2.7;6.7;6.9;17.1;0.400;0.442;33;47;1.4;2.0;3.7;5.2;0.702;0.483;52.3;7.1;40.6;0.30
KOVÁCS Ákos;2023-24;Atomerőmű SE;26;490;18.8;162;6.2;17.8;27;62;1.0;2.4;3.0;6.8;0.435;12;24;0.5;0.9;1.3;2.6;0.500;39;86;1.5;3.3;4.3;9.5;0.453;19;66;0.7;2.5;2.1;7.3;0.288;58;152;2.2;5.8;6.4;16.7;0.382;0.444;27;34;1.0;1.3;3.0;3.7;0.794;0.484;40.8;15.8;43.4;0.22
IVKOVICS Milán;2022-23;Kecskemét;33;486;14.7;105;3.2;11.9;12;23;0.4;0.7;1.4;2.6;0.522;2;8;0.1;0.2;0.2;0.9;0.250;14;31;0.4;0.9;1.6;3.5;0.452;21;94;0.6;2.8;2.4;10.7;0.223;35;125;1.1;3.8;4.0;14.2;0.280;0.364;14;20;0.4;0.6;1.6;2.3;0.700;0.392;18.4;6.4;75.2;0.16
KUCSERA Dániel;2022-23;Kecskemét;31;484;15.6;134;4.3;15.3;20;29;0.6;0.9;2.3;3.3;0.690;4;12;0.1;0.4;0.5;1.4;0.333;24;41;0.8;1.3;2.7;4.7;0.585;26;79;0.8;2.5;3.0;9.0;0.329;50;120;1.6;3.9;5.7;13.7;0.417;0.525;8;16;0.3;0.5;0.9;1.8;0.500;0.527;24.2;10.0;65.8;0.13
KASS Balázs;2023-24;Alba Fehérvár;36;482;13.4;118;3.3;12.9;10;17;0.3;0.5;1.1;1.9;0.588;0;2;0.0;0.1;0.0;0.2;0.000;10;19;0.3;0.5;1.1;2.1;0.526;29;77;0.8;2.1;3.2;8.4;0.377;39;96;1.1;2.7;4.3;10.5;0.406;0.557;11;19;0.3;0.5;1.2;2.1;0.579;0.564;17.7;2.1;80.2;0.20
HENDLEIN Roland;2022-23;Kaposvár;29;481;16.6;112;3.9;12.7;28;45;1.0;1.6;3.2;5.1;0.622;1;4;0.0;0.1;0.1;0.5;0.250;29;49;1.0;1.7;3.3;5.5;0.592;16;56;0.6;1.9;1.8;6.3;0.286;45;105;1.6;3.6;5.1;11.9;0.429;0.505;6;12;0.2;0.4;0.7;1.4;0.500;0.507;42.9;3.8;53.3;0.11
FILIPOVITY Márkó;2023-24;Kaposvár;14;479;34.2;230;16.4;27.1;35;71;2.5;5.1;4.1;8.4;0.493;7;17;0.5;1.2;0.8;2.0;0.412;42;88;3.0;6.3;4.9;10.4;0.477;36;101;2.6;7.2;4.2;11.9;0.356;78;189;5.6;13.5;9.2;22.2;0.413;0.508;38;45;2.7;3.2;4.5;5.3;0.844;0.550;37.6;9.0;53.4;0.24
TAKÁCS Milán;2022-23;Alba Fehérvár;37;478;12.9;95;2.6;10.9;19;37;0.5;1.0;2.2;4.2;0.514;6;15;0.2;0.4;0.7;1.7;0.400;25;52;0.7;1.4;2.9;6.0;0.481;10;29;0.3;0.8;1.1;3.3;0.345;35;81;0.9;2.2;4.0;9.3;0.432;0.494;15;18;0.4;0.5;1.7;2.1;0.833;0.533;45.7;18.5;35.8;0.22
FAZEKAS Csaba;2022-23;NYBS;29;477;16.4;145;5.0;16.1;20;59;0.7;2.0;2.2;6.6;0.339;10;22;0.3;0.8;1.1;2.4;0.455;30;81;1.0;2.8;3.3;9.0;0.370;25;99;0.9;3.4;2.8;11.0;0.253;55;180;1.9;6.2;6.1;20.0;0.306;0.375;10;19;0.3;0.7;1.1;2.1;0.526;0.385;32.8;12.2;55.0;0.11
Kenny WOOTEN;2023-24;Atomerőmű SE;23;476;20.7;184;8.0;20.5;75;101;3.3;4.4;8.4;11.3;0.743;1;9;0.0;0.4;0.1;1.0;0.111;76;110;3.3;4.8;8.5;12.3;0.691;0;0;0.0;0.0;0.0;0.0;;76;110;3.3;4.8;8.5;12.3;0.691;0.691;32;42;1.4;1.8;3.6;4.7;0.762;0.714;91.8;8.2;0.0;0.38
RUDNER Gábor;2022-23;Szolnok;31;470;15.2;189;6.1;22.6;14;24;0.5;0.8;1.7;2.9;0.583;1;4;0.0;0.1;0.1;0.5;0.250;15;28;0.5;0.9;1.8;3.4;0.536;49;104;1.6;3.4;5.9;12.4;0.471;64;132;2.1;4.3;7.7;15.8;0.485;0.670;12;14;0.4;0.5;1.4;1.7;0.857;0.683;18.2;3.0;78.8;0.11
SITKU Márton;2022-23;Sopron;36;467;13.0;123;3.4;14.7;27;49;0.8;1.4;3.2;5.9;0.551;1;3;0.0;0.1;0.1;0.4;0.333;28;52;0.8;1.4;3.4;6.2;0.538;15;56;0.4;1.6;1.8;6.7;0.268;43;108;1.2;3.0;5.2;12.9;0.398;0.468;22;30;0.6;0.8;2.6;3.6;0.733;0.506;45.4;2.8;51.9;0.28
Amadou SIDIBÉ;2023-24;Sopron;21;465;22.1;208;9.9;24.5;58;104;2.8;5.0;6.8;12.2;0.558;13;37;0.6;1.8;1.5;4.4;0.351;71;141;3.4;6.7;8.3;16.6;0.504;10;24;0.5;1.1;1.2;2.8;0.417;81;165;3.9;7.9;9.5;19.4;0.491;0.521;36;49;1.7;2.3;4.2;5.8;0.735;0.556;63.0;22.4;14.5;0.30
BALSAY Ádám;2023-24;Oroszlány;31;463;14.9;109;3.5;12.3;25;45;0.8;1.5;2.8;5.1;0.556;1;3;0.0;0.1;0.1;0.3;0.333;26;48;0.8;1.5;2.9;5.4;0.542;11;37;0.4;1.2;1.2;4.2;0.297;37;85;1.2;2.7;4.2;9.6;0.435;0.500;24;31;0.8;1.0;2.7;3.5;0.774;0.551;52.9;3.5;43.5;0.37
KUCSORA Csaba;2023-24;Atomerőmű SE;24;461;19.2;169;7.0;19.4;25;39;1.0;1.6;2.9;4.5;0.641;16;29;0.7;1.2;1.8;3.3;0.552;41;68;1.7;2.8;4.7;7.8;0.603;24;64;1.0;2.7;2.8;7.4;0.375;65;132;2.7;5.5;7.5;15.2;0.492;0.583;15;21;0.6;0.9;1.7;2.4;0.714;0.597;29.5;22.0;48.5;0.16
BOGDÁN Benedek;2022-23;Kaposvár;34;459;13.5;82;2.4;9.7;20;42;0.6;1.2;2.4;5.0;0.476;4;16;0.1;0.5;0.5;1.9;0.250;24;58;0.7;1.7;2.9;6.9;0.414;7;20;0.2;0.6;0.8;2.4;0.350;31;78;0.9;2.3;3.7;9.3;0.397;0.442;13;23;0.4;0.7;1.5;2.7;0.565;0.464;53.8;20.5;25.6;0.30
RÉVÉSZ Ádám;2023-24;Szolnok;34;457;13.4;140;4.1;16.5;43;73;1.3;2.1;5.1;8.6;0.589;2;10;0.1;0.3;0.2;1.2;0.200;45;83;1.3;2.4;5.3;9.8;0.542;9;21;0.3;0.6;1.1;2.5;0.429;54;104;1.6;3.1;6.4;12.3;0.519;0.563;23;40;0.7;1.2;2.7;4.7;0.575;0.574;70.2;9.6;20.2;0.39
SCHERER Bálint;2024-25;NKA Pécs;32;455;14.2;116;3.6;13.9;13;24;0.4;0.8;1.6;2.9;0.542;5;8;0.2;0.3;0.6;1.0;0.625;18;32;0.6;1.0;2.2;3.8;0.563;23;83;0.7;2.6;2.8;9.9;0.277;41;115;1.3;3.6;4.9;13.8;0.357;0.457;11;12;0.3;0.4;1.3;1.4;0.917;0.482;20.9;7.0;72.2;0.10
Jordan WALKER;2023-24;NKA Pécs;19;452;23.8;257;13.5;30.2;49;90;2.6;4.7;5.8;10.6;0.544;6;20;0.3;1.1;0.7;2.4;0.300;55;110;2.9;5.8;6.5;12.9;0.500;30;97;1.6;5.1;3.5;11.4;0.309;85;207;4.5;10.9;10.0;24.3;0.411;0.483;57;73;3.0;3.8;6.7;8.6;0.781;0.536;43.5;9.7;46.9;0.35
Chris PAYTON;2024-25;PVSK;15;452;30.1;235;15.7;27.6;82;137;5.5;9.1;9.6;16.1;0.599;4;8;0.3;0.5;0.5;0.9;0.500;86;145;5.7;9.7;10.1;17.0;0.593;12;29;0.8;1.9;1.4;3.4;0.414;98;174;6.5;11.6;11.5;20.4;0.563;0.598;27;53;1.8;3.5;3.2;6.2;0.509;0.594;78.7;4.6;16.7;0.31
Marcus LEWIS;2024-25;Szolnok;16;452;28.3;219;13.7;26.1;39;71;2.4;4.4;4.6;8.5;0.549;6;16;0.4;1.0;0.7;1.9;0.375;45;87;2.8;5.4;5.4;10.4;0.517;31;84;1.9;5.3;3.7;10.0;0.369;76;171;4.8;10.7;9.0;20.4;0.444;0.535;36;46;2.3;2.9;4.3;5.5;0.783;0.571;41.5;9.4;49.1;0.27
BALOGH Szilárd;2022-23;Szedeák;35;451;12.9;120;3.4;14.7;35;53;1.0;1.5;4.3;6.5;0.660;1;7;0.0;0.2;0.1;0.9;0.143;36;60;1.0;1.7;4.4;7.3;0.600;8;28;0.2;0.8;1.0;3.4;0.286;44;88;1.3;2.5;5.4;10.8;0.500;0.545;24;35;0.7;1.0;2.9;4.3;0.686;0.578;60.2;8.0;31.8;0.40
Olekszandr MISULA;2023-24;ZTE;20;445;22.3;226;11.3;27.2;27;52;1.4;2.6;3.3;6.3;0.519;7;20;0.4;1.0;0.8;2.4;0.350;34;72;1.7;3.6;4.1;8.7;0.472;42;132;2.1;6.6;5.1;15.9;0.318;76;204;3.8;10.2;9.2;24.6;0.373;0.475;32;44;1.6;2.2;3.9;5.3;0.727;0.505;25.5;9.8;64.7;0.22
Shamiel STEVENSON;2023-24;Oroszlány;17;439;25.8;216;12.7;25.3;55;88;3.2;5.2;6.5;10.3;0.625;10;26;0.6;1.5;1.2;3.1;0.385;65;114;3.8;6.7;7.6;13.4;0.570;13;38;0.8;2.2;1.5;4.5;0.342;78;152;4.6;8.9;9.2;17.8;0.513;0.556;47;61;2.8;3.6;5.5;7.2;0.770;0.602;57.9;17.1;25.0;0.40
CSUTI Kornél;2024-25;Oroszlány;36;438;12.2;127;3.5;15.8;39;79;1.1;2.2;4.9;9.8;0.494;3;10;0.1;0.3;0.4;1.3;0.300;42;89;1.2;2.5;5.2;11.1;0.472;9;35;0.3;1.0;1.1;4.4;0.257;51;124;1.4;3.4;6.4;15.4;0.411;0.448;16;27;0.4;0.8;2.0;3.4;0.593;0.466;63.7;8.1;28.2;0.22
Elijah CLARANCE;2023-24;Atomerőmű SE;14;434;31.0;268;19.1;32.4;57;94;4.1;6.7;6.9;11.4;0.606;11;26;0.8;1.9;1.3;3.1;0.423;68;120;4.9;8.6;8.2;14.5;0.567;23;80;1.6;5.7;2.8;9.7;0.288;91;200;6.5;14.3;11.0;24.2;0.455;0.513;63;81;4.5;5.8;7.6;9.8;0.778;0.567;47.0;13.0;40.0;0.41
Shane HENRY;2022-23;Oroszlány;22;433;19.7;225;10.2;29.0;91;121;4.1;5.5;11.7;15.6;0.752;6;20;0.3;0.9;0.8;2.6;0.300;97;141;4.4;6.4;12.5;18.2;0.688;1;9;0.0;0.4;0.1;1.2;0.111;98;150;4.5;6.8;12.6;19.3;0.653;0.657;28;45;1.3;2.0;3.6;5.8;0.622;0.661;80.7;13.3;6.0;0.30
HAJDU Péter;2023-24;Bp. Honvéd;30;432;14.4;105;3.5;13.4;10;19;0.3;0.6;1.3;2.4;0.526;2;3;0.1;0.1;0.3;0.4;0.667;12;22;0.4;0.7;1.5;2.8;0.545;25;78;0.8;2.6;3.2;9.9;0.321;37;100;1.2;3.3;4.7;12.7;0.370;0.495;6;10;0.2;0.3;0.8;1.3;0.600;0.502;19.0;3.0;78.0;0.10
