Játékos;Szezon;Csapat;G;Min;Min PG;PTS;PTS PG;PTS 100;Close made;Close att.;Close made PG;Close att. PG;Close made 100;Close att. 100;Close %;Mid. made;Mid. att.;Mid. made PG;Mid. att. PG;Mid. made 100;Mid. att. 100;Mid. %;2P made;2P att.;2P made PG;2P att. PG;2P made 100;2P att. 100;2P%;3P made;3P att.;3P made PG;3P att. PG;3P made 100;3P att. 100;3P%;FG made;FG att.;FG made PG;FG att. PG;FG made 100;FG att. 100;FG%;EFG%;FT made;FT att.;FT made PG;FT att. PG;FT made 100;FT att. 100;FT%;TS%;Close att. rate;Mid. att. rate;3P att. rate;FT rate
CSEH Botond;2024-25;Szedeák;34;793;23.3;245;7.2;17.3;76;148;2.2;4.4;5.4;10.4;0.514;1;10;0.0;0.3;0.1;0.7;0.100;77;158;2.3;4.6;5.4;11.2;0.487;16;63;0.5;1.9;1.1;4.4;0.254;93;221;2.7;6.5;6.6;15.6;0.421;0.457;43;72;1.3;2.1;3.0;5.1;0.597;0.483;67.0;4.5;28.5;0.33
BAZSÓ Brúnó;2022-23;NYBS;32;789;24.7;175;5.5;11.7;19;36;0.6;1.1;1.3;2.4;0.528;5;11;0.2;0.3;0.3;0.7;0.455;24;47;0.8;1.5;1.6;3.2;0.511;27;102;0.8;3.2;1.8;6.9;0.265;51;149;1.6;4.7;3.4;10.0;0.342;0.433;46;59;1.4;1.8;3.1;4.0;0.780;0.498;24.2;7.4;68.5;0.40
PONGÓ Máté;2022-23;Szolnok;37;787;21.3;231;6.2;16.6;29;59;0.8;1.6;2.1;4.2;0.492;2;15;0.1;0.4;0.1;1.1;0.133;31;74;0.8;2.0;2.2;5.3;0.419;47;132;1.3;3.6;3.4;9.5;0.356;78;206;2.1;5.6;5.6;14.8;0.379;0.493;28;39;0.8;1.1;2.0;2.8;0.718;0.517;28.6;7.3;64.1;0.19
Isaiah MUCIUS;2024-25;Sopron;30;785;26.2;418;13.9;28.9;73;115;2.4;3.8;5.1;8.0;0.635;18;36;0.6;1.2;1.2;2.5;0.500;91;151;3.0;5.0;6.3;10.4;0.603;56;135;1.9;4.5;3.9;9.3;0.415;147;286;4.9;9.5;10.2;19.8;0.514;0.612;68;86;2.3;2.9;4.7;5.9;0.791;0.644;40.2;12.6;47.2;0.30
PERINGER Balázs;2022-23;Bp. Honvéd;36;781;21.7;159;4.4;11.2;71;128;2.0;3.6;5.0;9.0;0.555;1;5;0.0;0.1;0.1;0.4;0.200;72;133;2.0;3.7;5.1;9.4;0.541;0;2;0.0;0.1;0.0;0.1;0.000;72;135;2.0;3.8;5.1;9.5;0.533;0.533;15;34;0.4;0.9;1.1;2.4;0.441;0.529;94.8;3.7;1.5;0.25
KELLER Ákos;2023-24;Falco KC;36;781;21.7;259;7.2;17.8;81;116;2.3;3.2;5.6;8.0;0.698;2;8;0.1;0.2;0.1;0.6;0.250;83;124;2.3;3.4;5.7;8.5;0.669;19;43;0.5;1.2;1.3;3.0;0.442;102;167;2.8;4.6;7.0;11.5;0.611;0.668;36;71;1.0;2.0;2.5;4.9;0.507;0.651;69.5;4.8;25.7;0.43
PALLAI Tamás;2024-25;Szolnok;35;779;22.2;331;9.5;22.8;44;71;1.3;2.0;3.0;4.9;0.620;3;6;0.1;0.2;0.2;0.4;0.500;47;77;1.3;2.2;3.2;5.3;0.610;67;175;1.9;5.0;4.6;12.0;0.383;114;252;3.3;7.2;7.9;17.3;0.452;0.585;36;45;1.0;1.3;2.5;3.1;0.800;0.608;28.2;2.4;69.4;0.18
KELLER Iván;2023-24;ZTE;37;778;21.0;206;5.6;14.4;44;70;1.2;1.9;3.1;4.9;0.629;2;7;0.1;0.2;0.1;0.5;0.286;46;77;1.2;2.1;3.2;5.4;0.597;29;100;0.8;2.7;2.0;7.0;0.290;75;177;2.0;4.8;5.2;12.4;0.424;0.506;27;34;0.7;0.9;1.9;2.4;0.794;0.536;39.5;4.0;56.5;0.19
POLYÁK László;2022-23;DEAC;34;775;22.8;241;7.1;17.6;36;74;1.1;2.2;2.6;5.4;0.486;2;5;0.1;0.1;0.2;0.4;0.400;38;79;1.1;2.3;2.8;5.8;0.481;41;130;1.2;3.8;3.0;9.5;0.315;79;209;2.3;6.1;5.8;15.2;0.378;0.476;42;60;1.2;1.8;3.1;4.4;0.700;0.511;35.4;2.4;62.2;0.29
Nikola POPOVIĆ;2024-25;Falco KC;36;775;21.5;388;10.8;27.5;150;214;4.2;5.9;10.6;15.2;0.701;8;19;0.2;0.5;0.6;1.4;0.421;158;233;4.4;6.5;11.2;16.5;0.678;4;22;0.1;0.6;0.3;1.6;0.182;162;255;4.5;7.1;11.5;18.1;0.635;0.643;60;91;1.7;2.5;4.3;6.5;0.659;0.656;83.9;7.5;8.6;0.36
LUKÁCS Norbert;2024-25;Szolnok;32;775;24.2;328;10.3;22.7;72;107;2.3;3.3;5.0;7.4;0.673;1;6;0.0;0.2;0.1;0.4;0.167;73;113;2.3;3.5;5.0;7.8;0.646;44;98;1.4;3.1;3.0;6.8;0.449;117;211;3.7;6.6;8.1;14.6;0.555;0.659;50;79;1.6;2.5;3.5;5.5;0.633;0.665;50.7;2.8;46.4;0.37
MUCZA Tamás;2023-24;Szedeák;36;773;21.5;203;5.6;13.7;55;92;1.5;2.6;3.7;6.2;0.598;4;9;0.1;0.3;0.3;0.6;0.444;59;101;1.6;2.8;4.0;6.8;0.584;16;70;0.4;1.9;1.1;4.7;0.229;75;171;2.1;4.8;5.0;11.5;0.439;0.485;37;54;1.0;1.5;2.5;3.6;0.685;0.520;53.8;5.3;40.9;0.32
VALERIO-BODON Vincent;2022-23;Sopron;30;772;25.7;245;8.2;17.7;41;59;1.4;2.0;3.0;4.3;0.695;4;12;0.1;0.4;0.3;0.9;0.333;45;71;1.5;2.4;3.3;5.1;0.634;42;102;1.4;3.4;3.0;7.4;0.412;87;173;2.9;5.8;6.3;12.5;0.503;0.624;29;33;1.0;1.1;2.1;2.4;0.879;0.652;34.1;6.9;59.0;0.19
ILLÉS Máté;2022-23;Oroszlány;36;767;21.3;287;8.0;20.7;34;79;0.9;2.2;2.5;5.7;0.430;4;34;0.1;0.9;0.3;2.5;0.118;38;113;1.1;3.1;2.7;8.1;0.336;65;190;1.8;5.3;4.7;13.7;0.342;103;303;2.9;8.4;7.4;21.8;0.340;0.447;16;23;0.4;0.6;1.2;1.7;0.696;0.458;26.1;11.2;62.7;0.08
Tyler ROBERSON;2022-23;Szedeák;25;764;30.6;374;15.0;27.0;130;213;5.2;8.5;9.4;15.4;0.610;21;68;0.8;2.7;1.5;4.9;0.309;151;281;6.0;11.2;10.9;20.3;0.537;0;1;0.0;0.0;0.0;0.1;0.000;151;282;6.0;11.3;10.9;20.3;0.535;0.535;72;128;2.9;5.1;5.2;9.2;0.563;0.551;75.5;24.1;0.4;0.45
James BISHOP;2024-25;Oroszlány;24;763;31.8;367;15.3;26.4;80;160;3.3;6.7;5.8;11.5;0.500;13;35;0.5;1.5;0.9;2.5;0.371;93;195;3.9;8.1;6.7;14.0;0.477;40;127;1.7;5.3;2.9;9.1;0.315;133;322;5.5;13.4;9.6;23.1;0.413;0.475;61;73;2.5;3.0;4.4;5.3;0.836;0.517;49.7;10.9;39.4;0.23
TÓTH Ádám;2023-24;ZTE;35;760;21.7;402;11.5;28.8;146;240;4.2;6.9;10.4;17.2;0.608;4;17;0.1;0.5;0.3;1.2;0.235;150;257;4.3;7.3;10.7;18.4;0.584;4;15;0.1;0.4;0.3;1.1;0.267;154;272;4.4;7.8;11.0;19.5;0.566;0.574;90;133;2.6;3.8;6.4;9.5;0.677;0.606;88.2;6.3;5.5;0.49
